Year,Geography,All-items,Food (17),Shelter (18),"Household operations, furnishings and equipment",Clothing and footwear,Transportation,Gasoline,Health and personal care,"Recreation, education and reading",Alcoholic beverages and tobacco products,All-items excluding food and energy (25),All-items excluding energy (25),Energy (25),Goods (27),Services (28)
1960,Alberta,,,,,,,,,,,,,,,
1961,Alberta,,,,,,,,,,,,,,,
1962,Alberta,,,,,,,,,,,,,,,
1963,Alberta,,,,,,,,,,,,,,,
1964,Alberta,,,,,,,,,,,,,,,
1965,Alberta,,,,,,,,,,,,,,,
1966,Alberta,,,,,,,,,,,,,,,
1967,Alberta,,,,,,,,,,,,,,,
1968,Alberta,,,,,,,,,,,,,,,
1969,Alberta,,,,,,,,,,,,,,,
1970,Alberta,,,,,,,,,,,,,,,
1971,Alberta,,,,,,,,,,,,,,,
1972,Alberta,,,,,,,,,,,,,,,
1973,Alberta,,,,,,,,,,,,,,,
1974,Alberta,,,,,,,,,,,,,,,
1975,Alberta,,,,,,,,,,,,,,,
1976,Alberta,,,,,,,,,,,,,,,
1977,Alberta,,,,,,,,,,,,,,,
1978,Alberta,,,,,,,,,,,,,,,
1979,Alberta,40,44.6,42.4,49.5,54.7,33.2,28.3,41,39.2,18.2,40.5,41.3,26.7,42,38
1980,Alberta,44.1,49,46.5,54.2,61.7,37.3,33.4,44.1,42.6,19.9,44.5,45.4,30.8,46.5,41.6
1981,Alberta,49.8,54.4,54.2,59.8,66.7,43.5,45.9,49.3,46.5,22.6,49.6,50.6,42.4,52.6,46.8
1982,Alberta,55.4,58.3,62.8,66.3,70.1,49.1,54.6,56.3,50.5,26,55.4,55.9,51.3,57.4,53.6
1983,Alberta,58.2,60.1,65.2,69.6,71.6,52,62,60.8,54.1,30,58.2,58.5,56.9,60.5,56.2
1984,Alberta,59.8,62.9,64.4,71.4,73.1,54.1,65.3,62.9,55.5,32.8,59.4,60,58.6,62.9,56.8
1985,Alberta,61.6,65.6,64.3,73.6,74.6,56.8,69.8,64.5,57.8,35.3,60.9,61.8,61.4,65.6,57.5
1986,Alberta,63.7,68.9,65.2,75.2,76.3,58.5,61.5,67,60.4,38.9,63.4,64.4,56.9,67.8,59.5
1987,Alberta,66.2,71.8,66,77.3,79.4,61.1,66.7,69.8,63.2,44.7,66,67,59.2,71.4,61.1
1988,Alberta,68,73.1,67.2,79.7,83.7,60.3,62.4,72.6,67.1,48,68.4,69.2,56.4,73.3,62.8
1989,Alberta,70.9,74.1,70.2,81.9,86.6,64,68.8,75.8,69.7,52.2,71.5,71.9,60.2,76.2,65.5
1990,Alberta,75,78,75.5,84.1,89,68.4,83.6,79.4,72.6,57.2,75.1,75.6,69.5,80.2,69.8
