Year,Geography,All-items,Food (17),Shelter (18),"Household operations, furnishings and equipment",Clothing and footwear,Transportation,Gasoline,Health and personal care,"Recreation, education and reading",Alcoholic beverages and tobacco products,All-items excluding food and energy (25),All-items excluding energy (25),Energy (25),Goods (27),Services (28)
1960,British Columbia,,,,,,,,,,,,,,,
1961,British Columbia,,,,,,,,,,,,,,,
1962,British Columbia,,,,,,,,,,,,,,,
1963,British Columbia,,,,,,,,,,,,,,,
1964,British Columbia,,,,,,,,,,,,,,,
1965,British Columbia,,,,,,,,,,,,,,,
1966,British Columbia,,,,,,,,,,,,,,,
1967,British Columbia,,,,,,,,,,,,,,,
1968,British Columbia,,,,,,,,,,,,,,,
1969,British Columbia,,,,,,,,,,,,,,,
1970,British Columbia,,,,,,,,,,,,,,,
1971,British Columbia,,,,,,,,,,,,,,,
1972,British Columbia,,,,,,,,,,,,,,,
1973,British Columbia,,,,,,,,,,,,,,,
1974,British Columbia,,,,,,,,,,,,,,,
1975,British Columbia,,,,,,,,,,,,,,,
1976,British Columbia,,,,,,,,,,,,,,,
1977,British Columbia,,,,,,,,,,,,,,,
1978,British Columbia,,,,,,,,,,,,,,,
1979,British Columbia,41.5,42.8,53.1,46.6,49.2,31.3,29.4,41.4,38.2,23.1,42.3,42.5,32.5,42.1,40.9
1980,British Columbia,45.4,47.2,56,50.4,55.3,35,35.1,45.7,41.4,25.8,46,46.4,36.5,46.6,44
1981,British Columbia,51.8,52.4,65,56.8,59.8,43,48.5,51.2,45.6,29.8,52.3,52.4,47.2,53,50.6
1982,British Columbia,57.3,56.6,73.2,62.7,64.3,48.3,56.7,56.6,49.4,33.8,57.7,57.5,56.2,58,56.6
1983,British Columbia,60.4,58.8,76.8,66.2,66.9,51.1,62.7,60.2,53.5,36.7,60.8,60.4,61.3,61.1,59.8
1984,British Columbia,62.8,61.9,78.4,68.2,68.5,53.7,67.2,62.5,55.6,39.5,62.8,62.7,65.3,64.1,61.5
1985,British Columbia,64.8,63,79.2,69,70.1,56.8,72.3,64,58.9,43.3,64.8,64.4,69.4,66.3,63.2
1986,British Columbia,66.7,65.7,79.5,70.6,71.6,57.5,61.2,65.8,62.8,48.1,67.3,67.1,63.2,68,65.3
1987,British Columbia,68.7,68.1,80.5,72.9,73.4,59.5,65.7,68,65,51.2,69.3,69.1,64.8,70.5,66.8
1988,British Columbia,71.2,69.9,82.9,75,76.6,61.1,63.6,70.4,68.3,55.8,72.3,71.8,64.2,72.8,69.4
1989,British Columbia,74.4,71.4,87.6,76.2,79,65.1,70.3,72.3,71.2,59.7,75.8,75,67.5,75.5,73.1
1990,British Columbia,78.4,75.6,93.4,78.1,80.6,69.7,82.1,75.3,74.3,64.2,79.5,78.8,74.6,79,77.8
1991,British Columbia,82.6,81,96.1,81.4,87.2,71.2,78.4,80.7,79.3,72.9,83.7,83.2,75.4,82.8,82.3
1992,British Columbia,84.8,82.9,98.2,82.7,88.7,74.1,73.7,82.1,80.2,78.9,86.5,85.8,73.6,84.1,85.5
1993,British Columbia,87.8,85.5,101.3,84.9,90.6,78,73.9,84.9,82.7,82.4,89.7,88.8,75.1,86.6,88.9
1994,British Columbia,89.5,86.4,102.1,85.8,92.7,82.2,75.6,87.4,85.9,80.4,91.6,90.5,77.6,87.9,91.2
1995,British Columbia,91.6,89,102,88,93.4,86,79.6,87.8,90.6,81.1,93.5,92.6,79,90,93.2
1996,British Columbia,92.4,89.7,100.1,89.8,93.3,88.7,82.2,88.5,92.8,82.6,94.3,93.4,80.2,91.1,93.6
1997,British Columbia,93.1,91.9,98.6,91,95,89.5,82,89.8,94,84.6,94.6,94,81.5,92.7,93.4
1998,British Columbia,93.4,93.3,96.8,94.2,96.7,88.4,72.6,92,94.7,85.7,95.2,94.8,76.3,92.7,94
1999,British Columbia,94.4,94.2,96.2,95.5,97.8,91.3,79.1,94.2,95.5,86.1,95.8,95.5,81.2,94.1,94.6
2000,British Columbia,96.1,93.7,97.8,96.7,99.5,96.3,99,95.7,97.3,86.6,96.7,96.1,96.2,96.3,96
2001,British Columbia,97.7,97.4,99.3,97.5,100,96.6,99,98.2,98.4,88.7,97.7,97.6,98.8,97.9,97.5
2002,British Columbia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2003,British Columbia,102.2,101.9,101.8,101.1,98.9,103.2,109.4,100.7,103.4,107.4,101.8,101.8,106.6,101.8,102.6
2004,British Columbia,104.2,103.2,104,101.6,99.4,106.1,121,102.5,106,112.8,103.6,103.5,114.2,103.1,105.1
2005,British Columbia,106.3,104.5,106.2,102.2,99.9,110.4,135.8,104.7,107.4,114.3,105.2,105,123.2,104.6,107.7
2006,British Columbia,108.1,106.5,108.7,102,99.9,114.2,145.2,106.4,107.5,116,106.6,106.6,129,105.8,110.2
2007,British Columbia,110,109.3,110.9,102.6,99.9,116.2,150.7,107.8,109,119.1,108.2,108.4,131.4,106.7,112.9
2008,British Columbia,112.3,112.9,114.3,103.4,99.1,119.1,169.6,108.5,109.8,120.7,109.3,110,143.9,108,116.1
2009,British Columbia,112.3,117.7,112.2,105.7,99.4,113.6,143.9,111.5,111,123.8,109.6,111.1,127.6,106.9,117
2010,British Columbia,113.8,119.6,113.1,106.5,98.3,117.1,156.9,113.9,112,126.3,110.3,112,138.2,108.4,118.6
2011,British Columbia,116.5,124.6,114.3,108.4,97.6,122.7,180.3,115.2,113.2,129.6,111.5,113.9,151.7,111.1,121.2
2012,British Columbia,117.8,127.3,114.2,110.8,100.5,125.2,183.2,115.5,113.1,130.6,112.3,115,155.2,112.2,122.6
2013,British Columbia,117.7,127.4,113.3,111.6,101,126.3,186.4,113.2,112.6,131.4,112.1,114.9,157.5,112.3,122.4
2014,British Columbia,118.9,129.5,114.2,112.8,101.2,127.6,186.3,112.9,113.8,135.1,112.9,115.9,161.9,113.6,123.5
2015,British Columbia,120.2,134.5,114.1,114.6,103.7,126.3,166.6,113.8,116.1,137.6,114.2,117.8,151.6,114.7,125
2016,British Columbia,122.4,136.9,115.7,116.9,104.7,129.2,159.4,115.8,119.4,141.4,116.9,120.4,147.3,116.4,127.8
