Year,Geography,All-items,Food (17),Shelter (18),"Household operations, furnishings and equipment",Clothing and footwear,Transportation,Gasoline,Health and personal care,"Recreation, education and reading",Alcoholic beverages and tobacco products,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada and excluding the effect of changes in indirect taxes (2002=100)",All-items excluding food and energy (25),All-items excluding energy (25),Energy (25),Goods (27),Services (28)
1960,Canada,15.5,14,,,24.7,14.6,12.4,15.7,17.6,10.3,,,,,,
1961,Canada,15.7,14.2,,,25.1,14.6,12.4,15.8,17.8,10.3,,17.3,,11.4,17.5,13.3
1962,Canada,15.9,14.4,,,25.4,14.7,12.5,16.1,18,10.5,,17.5,,11.4,17.6,13.5
1963,Canada,16.1,15,,,26,14.6,12.3,16.5,18.3,10.5,,17.8,,11.2,18,13.8
1964,Canada,16.4,15.2,,,26.6,14.8,12.8,17.1,18.6,10.7,,18.1,,11.3,18.2,14.1
1965,Canada,16.8,15.6,,,27.1,15.3,13,17.8,18.8,10.8,,18.6,,11.3,18.5,14.7
1966,Canada,17.5,16.6,,,28.1,15.7,13.6,18.4,19.4,11.1,,19.1,,11.4,19.2,15.2
1967,Canada,18.1,16.8,,,29.5,16.4,13.8,19.4,20.3,11.4,,20,,11.8,19.7,16
1968,Canada,18.8,17.3,,,30.4,16.8,14.4,20.1,21.3,12.4,,20.9,,12.3,20.5,16.8
1969,Canada,19.7,18.1,,,31.3,17.6,14.7,21.1,22.6,12.9,,21.8,,12.6,21.1,18
1970,Canada,20.3,18.5,,,31.9,18.3,15.1,22,23.4,13.1,,22.7,,13,21.5,19
1971,Canada,20.9,18.7,,,32.3,19.1,15.6,22.5,24.2,13.3,,23.4,21.7,13.6,21.9,19.9
1972,Canada,21.9,20.1,,,33.2,19.5,15.7,23.6,24.9,13.7,,24.3,22.8,14,22.9,21
1973,Canada,23.6,23,,,34.8,20,16.8,24.8,25.9,14.1,,25.4,24.5,15.3,24.9,22.3
1974,Canada,26.2,26.8,,,38.1,22,19.6,26.9,28.2,14.9,,27.6,27.1,17.6,28,24
1975,Canada,29,30.2,,,40.4,24.6,22.2,29.9,31.1,16.6,,30.2,30,20,31.1,26.6
1976,Canada,31.1,31.1,,,42.6,27.3,24.9,32.5,33,17.8,,32.8,32.1,23,32.6,29.8
1977,Canada,33.6,33.7,,,45.5,29.2,27,34.9,34.5,19.1,,35.3,34.5,25.8,35,32.5
1978,Canada,36.6,38.9,,,47.3,30.9,28.6,37.4,35.8,20.7,,37.4,37.6,28.2,38.6,34.8
1979,Canada,40,44,41,48.6,51.6,33.9,31.4,40.8,38.3,22.1,,40.2,41,31,42.7,37.2
1980,Canada,44,48.7,44.1,53,57.7,38.2,37.4,44.8,42,24.6,,44,45,36,47.6,40.2
1981,Canada,49.5,54.3,50,58.6,61.8,45.2,50.9,49.7,46.2,27.8,,48.8,50,46.8,53.8,44.9
1982,Canada,54.9,58.2,56.8,64.8,65.3,51.6,61.8,55,50.2,32.1,,54.1,54.9,56,58.9,50.7
1983,Canada,58.1,60.4,60.9,68.3,67.9,54.2,65.6,58.8,53.5,36.1,,57.4,58,60.4,62,53.9
1984,Canada,60.6,63.6,63.3,70.5,69.5,56.5,69.4,61.1,55.3,39.1,62.9,59.6,60.4,63.7,64.9,56
1985,Canada,63,65.5,65.6,72.3,71.5,59.2,73.5,63.2,57.7,42.8,65.1,62,62.7,67.3,67.5,58.2
1986,Canada,65.6,68.8,67.5,74.5,73.4,61,65.4,65.9,60.6,47.9,68,65.3,65.9,62.5,69.8,61.2
1987,Canada,68.5,71.8,70.5,76.7,76.5,63.3,68.5,69.2,63.7,51.1,71,68.2,68.9,64.1,72.6,64.1
1988,Canada,71.2,73.7,73.8,79.6,80.5,64.5,67.9,72.3,67.2,54.9,74,71.5,71.9,64.5,75.2,67
1989,Canada,74.8,76.5,78.1,82.5,83.7,67.8,72.1,75.4,70.3,59.9,77.2,75.5,75.6,66.7,78.4,70.9
1990,Canada,78.4,79.6,82.5,84.2,86.1,71.6,82.7,79.1,73.2,65.2,79.8,78.8,78.9,73.4,81.6,74.9
1991,Canada,82.8,83.4,86.3,87.4,94.3,72.9,81.5,84.7,78.3,76.4,82.1,83.4,83.4,77,85.7,79.6
