Year,Geography,All-items,Food (17),Shelter (18),"Household operations, furnishings and equipment",Clothing and footwear,Transportation,Gasoline,Health and personal care,"Recreation, education and reading",Alcoholic beverages and tobacco products,All-items excluding food and energy (25),All-items excluding energy (25),Energy (25),Goods (27),Services (28)
1960,Manitoba,,,,,,,,,,,,,,,
1961,Manitoba,,,,,,,,,,,,,,,
1962,Manitoba,,,,,,,,,,,,,,,
1963,Manitoba,,,,,,,,,,,,,,,
1964,Manitoba,,,,,,,,,,,,,,,
1965,Manitoba,,,,,,,,,,,,,,,
1966,Manitoba,,,,,,,,,,,,,,,
1967,Manitoba,,,,,,,,,,,,,,,
1968,Manitoba,,,,,,,,,,,,,,,
1969,Manitoba,,,,,,,,,,,,,,,
1970,Manitoba,,,,,,,,,,,,,,,
1971,Manitoba,,,,,,,,,,,,,,,
1972,Manitoba,,,,,,,,,,,,,,,
1973,Manitoba,,,,,,,,,,,,,,,
1974,Manitoba,,,,,,,,,,,,,,,
1975,Manitoba,,,,,,,,,,,,,,,
1976,Manitoba,,,,,,,,,,,,,,,
1977,Manitoba,,,,,,,,,,,,,,,
1978,Manitoba,,,,,,,,,,,,,,,
1979,Manitoba,40,44.2,42.2,45,46.9,35.2,32.2,42.2,38.9,21.8,39.6,40.7,34,42.2,37.7
1980,Manitoba,44,48.5,45,49.3,53,40.1,38.8,46.3,42.4,24.1,43.4,44.6,39.2,47,40.7
1981,Manitoba,49,53.4,49.8,54.4,57,47.5,52.3,50.4,45.9,26.9,47.7,49.1,48.8,52.6,44.7
1982,Manitoba,53.3,55.9,56.1,59,59.3,52.1,60.2,54.3,49.6,31.4,52.2,53.1,55.7,56.4,49.7
1983,Manitoba,56.8,57.5,61.1,62.5,62.1,55.9,68.8,59.1,52.7,35.8,56,56.4,62.2,59.8,53.5
1984,Manitoba,58.9,59,64,63.5,63.8,57.8,70.9,60.3,54.9,38.6,58.2,58.5,64.6,61.5,56
1985,Manitoba,61.4,61.1,66.8,65.4,65.4,60,76.4,62.3,58.1,42.3,60.8,60.9,67.5,63.9,58.6
1986,Manitoba,64.1,64.3,69,67.4,67.1,62,72.3,64.6,61.5,47.6,63.8,64,65.7,66.5,61.4
1987,Manitoba,66.8,66.8,71,70.5,69.8,63.6,70.9,67.8,65,52.8,67,67,65,69.1,64.3
1988,Manitoba,69.6,68.7,73,74.2,73.7,65.9,67.2,71.4,68.7,57.1,70.4,70.1,63.6,71.6,67.4
1989,Manitoba,72.9,71.6,76,77.4,76.9,69.4,73.6,75.2,71.6,62.6,73.8,73.4,67.6,75.4,70.1
1990,Manitoba,76.2,75.5,79.2,79.2,79.3,73.7,85.4,77.6,74.6,66.5,76.6,76.4,75.5,78.8,73.3
1991,Manitoba,80.1,79.1,83.7,82.4,85,74.5,82.2,82,78.9,75.1,80.7,80.5,77.6,82.2,77.9
1992,Manitoba,81.2,80.1,85,83.6,86.5,74.9,77.3,83.1,80.1,77.8,82.2,81.8,76.1,83.1,79.3
1993,Manitoba,83.4,83,85.7,84.8,88.5,78.5,81.1,86.1,83.4,78.5,84.2,84,78.4,85.5,81.3
1994,Manitoba,84.6,84,87.3,84.2,89.8,81.6,81.7,87,85.6,74.9,85.3,85.1,80.4,86.4,82.8
1995,Manitoba,86.8,86.1,89.3,84.8,92.1,85.4,85.3,87,89.2,75.5,87.6,87.4,82,88.5,85.1
1996,Manitoba,88.8,87.9,89.9,87,93.5,89.8,88.9,87.6,91.6,75.4,89.7,89.4,83.5,90.5,87
1997,Manitoba,90.6,89.8,91.1,88.1,96.2,92.4,89.6,88.5,94.2,76.8,91.4,91.2,86,92.3,89
1998,Manitoba,91.8,90.1,92.5,89.9,98.5,92.5,83.6,90.4,95.8,78.5,93,92.5,85.2,92.6,91
1999,Manitoba,93.6,91.3,94.2,91.6,100.5,95.6,89.7,92.5,96.8,80.5,94.8,94.1,89,94,93.3
2000,Manitoba,95.9,93.6,96.8,92.9,101,98.7,103.7,95.8,98.8,81.9,96.3,95.8,97.6,96.3,95.6
2001,Manitoba,98.5,97.6,100.5,97.5,100.9,99.1,102.4,98.3,99.1,86.4,98,98,103.8,98.9,98.1
2002,Manitoba,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2003,Manitoba,101.8,101.5,101.9,101.1,100.8,101.3,106.1,101.5,101.2,110.5,101.6,101.6,104.9,101.8,101.9
2004,Manitoba,103.8,104.1,104,102.2,99.7,105,119,103,100.9,116.1,102.8,103.1,112.4,103.5,104.1
2005,Manitoba,106.6,106.6,107.9,103.2,100,110.7,138.2,104.6,100.5,118.8,104.6,105,125.6,106.5,106.8
2006,Manitoba,108.7,108.9,111.1,103.6,96.8,114.7,146.6,106,100.8,121.6,106.2,106.7,131.5,108,109.4
2007,Manitoba,110.9,112.3,115.3,103.8,96.4,116.2,154,106.5,102.5,125.5,108,108.8,135.1,108.9,113.1
2008,Manitoba,113.4,116.2,120.3,104.6,93.8,119.2,175.1,107.1,102.8,125.9,109.1,110.5,147,109.5,117.7
2009,Manitoba,114.1,122.4,122.2,108,93.3,111.7,142.6,110.6,103.2,129.1,110.5,112.7,130.3,108.6,120.1
2010,Manitoba,115,122.5,121.9,108.1,92.4,114.9,147.7,111.4,104.4,135.4,111.7,113.7,130.8,108.9,121.8
2011,Manitoba,118.4,127,125.1,109.2,93.1,121.1,174.6,113.1,106.3,138.9,113.8,116.2,143.9,112.1,125.4
2012,Manitoba,120.3,129.8,127.5,111.3,93.4,122.8,179.9,114.2,106.1,146.9,115.5,118.1,145.3,113.3,128.1
2013,Manitoba,123,133.1,131.5,113.9,94.3,125.5,183.8,112.4,106.4,157.9,117.9,120.7,149.6,114.8,132
2014,Manitoba,125.3,136.7,135.4,115.8,94.1,126.7,181.1,112.6,107,166.9,119.9,123,151.7,116.4,135.1
2015,Manitoba,126.8,141.3,137.8,118.7,96.3,123.5,149.7,114,108.8,171.9,122.3,125.8,137,116.5,138.2
2016,Manitoba,128.4,141.7,140.6,120.6,93.5,126.1,140.4,115.3,110.1,175.8,124.7,127.8,133,116.9,141.2
