Year,Geography,All-items,Food (17),Shelter (18),"Household operations, furnishings and equipment",Clothing and footwear,Transportation,Gasoline,Health and personal care,"Recreation, education and reading",Alcoholic beverages and tobacco products,All-items excluding food and energy (25),All-items excluding energy (25),Energy (25),Goods (27),Services (28)
1960,New Brunswick,,,,,,,,,,,,,,,
1961,New Brunswick,,,,,,,,,,,,,,,
1962,New Brunswick,,,,,,,,,,,,,,,
1963,New Brunswick,,,,,,,,,,,,,,,
1964,New Brunswick,,,,,,,,,,,,,,,
1965,New Brunswick,,,,,,,,,,,,,,,
1966,New Brunswick,,,,,,,,,,,,,,,
1967,New Brunswick,,,,,,,,,,,,,,,
1968,New Brunswick,,,,,,,,,,,,,,,
1969,New Brunswick,,,,,,,,,,,,,,,
1970,New Brunswick,,,,,,,,,,,,,,,
1971,New Brunswick,,,,,,,,,,,,,,,
1972,New Brunswick,,,,,,,,,,,,,,,
1973,New Brunswick,,,,,,,,,,,,,,,
1974,New Brunswick,,,,,,,,,,,,,,,
1975,New Brunswick,,,,,,,,,,,,,,,
1976,New Brunswick,,,,,,,,,,,,,,,
1977,New Brunswick,,,,,,,,,,,,,,,
1978,New Brunswick,,,,,,,,,,,,,,,
1979,New Brunswick,41.1,45,41.1,49.2,52.2,36.6,31.9,43.4,38.6,22.4,41.8,42.4,32.2,42.6,39.1
1980,New Brunswick,45.3,50,44.8,53.2,58.2,41.2,36.6,47.8,42.3,24.7,45.7,46.6,36.8,47.5,42.2
1981,New Brunswick,50.9,55.9,51.7,58.4,62.2,47.1,49.1,53,46.5,,50,51.4,48.2,54,46.2
1982,New Brunswick,55.6,58.4,58,65.6,65,52.2,58.7,58.4,51.2,31.9,54.8,55.6,56.4,58.5,51.4
1983,New Brunswick,59.3,59.9,62.6,70.5,67.3,56,65.8,63.1,55.6,36.8,58.8,59,62.3,62.2,55.3
1984,New Brunswick,62.3,63.2,66.6,72.9,69,58.4,68.5,65.9,57.9,40.1,61.6,61.9,65.7,65.4,57.9
1985,New Brunswick,65.2,65.6,70.7,74.1,70.8,61.7,75.4,67.1,60.3,43.8,64.2,64.4,71.2,68.4,60.7
1986,New Brunswick,67.4,69,71,76,72.8,63.3,70.8,69.4,63.6,49.1,67.2,67.6,66.7,70.4,63.4
1987,New Brunswick,69.4,72.2,72.1,78.5,75.4,62.8,64.5,72.9,67,51.6,69.8,70.3,62.6,72,65.8
1988,New Brunswick,71.8,73.5,74.1,81.1,78.9,64.3,65.8,76,70.6,57,73,73,62.8,74.4,68.3
1989,New Brunswick,75.2,76.7,76.5,83.6,81.5,67.6,69.6,79.1,73.6,66.3,76.8,76.7,63.8,77.9,71.5
1990,New Brunswick,78.6,80.7,80.3,85.6,83.7,70.7,77.5,82.9,75.9,73.1,79.8,80,69.1,81.3,75
1991,New Brunswick,83.8,84.8,85.6,89.2,91.5,73.3,80.5,88.9,79.4,88.1,85,85,75.4,86.4,80.1
1992,New Brunswick,84.3,84.6,86.2,89,92.2,74.4,76.7,90.4,80.8,87.2,86.1,85.8,73.9,86.2,81.8
1993,New Brunswick,85.4,86.2,86.6,89.5,95.2,75.5,74,92.4,82.7,86.6,87.2,87,73.9,87.3,82.8
1994,New Brunswick,85.8,88.4,86.3,90.1,96.6,79.1,73.4,92.8,85,72.9,87.3,87.5,74,87.2,84.1
1995,New Brunswick,87.2,88.7,88.2,91,93.6,83.2,76.5,91.3,87.9,71.2,,88.8,75.9,87.9,86.2
1996,New Brunswick,88.5,88.7,89.8,93.3,94.1,85.3,76.4,91.4,90.2,70.6,90.2,89.9,78.5,89.1,87.6
1997,New Brunswick,90.1,89.7,92.3,93.2,97.1,87.8,83.6,93.7,91,71.3,91,90.7,86,91.1,88.8
1998,New Brunswick,90.6,91.3,92.5,93.6,97.9,86.4,77.1,94.6,92.4,73.9,91.8,91.7,83.4,91.1,90
1999,New Brunswick,92.1,92.8,93.5,94.8,99.9,88.8,81.7,95.8,93.4,74.7,93,93,86.4,92.6,91.4
2000,New Brunswick,95.1,94.2,98.2,96,99.3,94.4,100.9,97.7,95.5,77,94.3,94.3,100.6,96.4,93.5
2001,New Brunswick,96.8,96.5,99.5,97.8,101.5,94.2,97.8,99.4,96.9,85,96.3,96.4,99.2,97.5,95.7
2002,New Brunswick,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2003,New Brunswick,103.4,102.3,102.6,100.4,99.2,107,107.7,100.6,101.4,115.8,103.2,103,106.5,102.7,104.2
2004,New Brunswick,104.9,104.5,104.9,100.4,98.3,108.7,119.5,101.4,102.2,118.5,103.6,103.7,114.4,104.1,105.9
2005,New Brunswick,107.4,107.4,109.3,100.9,97.3,112.8,133.3,102.2,102.8,121,104.6,105.1,126.2,107.1,107.9
2006,New Brunswick,109.2,110.4,111.9,101.5,97.2,114.9,138.8,103,103.5,123.3,105.8,106.6,130.2,108.7,109.9
2007,New Brunswick,111.3,113.9,116.7,102.5,97.2,114.3,137.9,103.1,105.1,127.3,106.8,108.1,136.5,110.7,112
2008,New Brunswick,113.2,118.2,120.8,103.3,94.3,115.5,154.7,103.2,105,129.4,106.6,108.8,148.9,112,114.6
2009,New Brunswick,113.5,124.6,120.7,107,95.9,107.2,125,108.5,105.4,132.4,108.3,111.4,130.1,110.4,117.7
2010,New Brunswick,115.9,126.9,122.6,109.6,94.4,112.1,136.4,111,106.3,134.4,109.9,113.1,138.6,112.6,120.3
2011,New Brunswick,120,132.8,125,110.8,96.2,119.6,164.8,111.8,107.9,148.5,111.5,115.6,155.9,118,122.5
2012,New Brunswick,122,137.3,125.8,113.3,94.6,122.6,172.1,112.7,108.1,154.1,112.6,117.3,160.4,120.2,124.3
2013,New Brunswick,123,138.5,126.8,115.8,97.8,123.1,170.8,109.5,107.4,158.7,113.7,118.4,160.2,120.5,126.2
2014,New Brunswick,124.8,141,129.2,118.1,97,124.6,172.3,109.5,108.6,165,115.2,120.1,163.2,121.8,128.7
2015,New Brunswick,125.4,147.9,129.5,120.2,97.3,119.6,141,111.2,110.5,,,122.5,145.7,121.5,130.6
2016,New Brunswick,128.2,150.6,131.6,123.8,97.9,122.2,133.3,113.5,113.2,180.6,120.3,125.9,142.4,123.8,133.9
