Year,Geography,All-items,Food (17),Shelter (18),"Household operations, furnishings and equipment",Clothing and footwear,Transportation,Gasoline,Health and personal care,"Recreation, education and reading",Alcoholic beverages and tobacco products,All-items excluding food and energy (25),All-items excluding energy (25),Energy (25),Goods (27),Services (28)
1960,Newfoundland and Labrador,,,,,,,,,,,,,,,
1961,Newfoundland and Labrador,,,,,,,,,,,,,,,
1962,Newfoundland and Labrador,,,,,,,,,,,,,,,
1963,Newfoundland and Labrador,,,,,,,,,,,,,,,
1964,Newfoundland and Labrador,,,,,,,,,,,,,,,
1965,Newfoundland and Labrador,,,,,,,,,,,,,,,
1966,Newfoundland and Labrador,,,,,,,,,,,,,,,
1967,Newfoundland and Labrador,,,,,,,,,,,,,,,
1968,Newfoundland and Labrador,,,,,,,,,,,,,,,
1969,Newfoundland and Labrador,,,,,,,,,,,,,,,
1970,Newfoundland and Labrador,,,,,,,,,,,,,,,
1971,Newfoundland and Labrador,,,,,,,,,,,,,,,
1972,Newfoundland and Labrador,,,,,,,,,,,,,,,
1973,Newfoundland and Labrador,,,,,,,,,,,,,,,
1974,Newfoundland and Labrador,,,,,,,,,,,,,,,
1975,Newfoundland and Labrador,,,,,,,,,,,,,,,
1976,Newfoundland and Labrador,,,,,,,,,,,,,,,
1977,Newfoundland and Labrador,,,,,,,,,,,,,,,
1978,Newfoundland and Labrador,,,,,,,,,,,,,,,
1979,Newfoundland and Labrador,42,50.4,42.2,54.4,50.1,34.2,33.2,46.4,40.7,24.9,41.6,43.6,33.8,44.6,38.1
1980,Newfoundland and Labrador,46.9,56.8,46.9,58.4,55.5,38.8,39.3,51.7,44.1,28.4,45.8,48.3,39.6,50.2,41.8
1981,Newfoundland and Labrador,53.1,62.7,55.2,64,59.6,45.6,52,56.4,48.4,32.6,50.9,53.6,52.1,57.2,46.9
1982,Newfoundland and Labrador,58.5,66.1,62.5,71,62.8,51,62.1,60.6,52,38,55.9,58.2,62,62.6,52.2
1983,Newfoundland and Labrador,62.4,66.8,67.1,74.1,70.3,54.3,68.5,66.2,55.2,45.5,60.5,61.9,67.9,66.8,55.9
1984,Newfoundland and Labrador,65.2,69.3,71.2,75.8,71.9,56.5,71.9,68.8,57.5,49,63.1,64.5,72,69.7,58.4
1985,Newfoundland and Labrador,67.8,70.6,75,78.3,73.7,59.5,77.6,71.2,59.8,52.3,65.4,66.6,79,72.8,60.5
1986,Newfoundland and Labrador,69.9,74,74.4,80.5,75.2,61.5,71.7,74,62.3,56.9,68.3,69.4,73.4,74.6,62.8
1987,Newfoundland and Labrador,71.9,77,75.2,82.3,78,62.2,69.7,77.7,65.8,58.9,70.6,71.9,71,76.4,65.1
1988,Newfoundland and Labrador,73.5,77.8,77,85.3,80.8,62.5,68.3,80.2,69,61.3,72.9,73.9,70.2,77.9,67
1989,Newfoundland and Labrador,76.2,80.2,78.5,87.2,84.1,65.5,71.1,83,72,65.8,76,76.9,70,80.8,69.3
1990,Newfoundland and Labrador,79.4,83,83.4,87.8,87.1,69.2,80.1,85.9,74.6,69.3,78.8,79.6,78.5,84.2,72.5
1991,Newfoundland and Labrador,84.4,87.5,88.9,90.2,95.5,71.1,83.2,92.6,79.2,78.4,83.7,84.4,84.6,89.1,77.4
