Year,Geography,All-items,Food (17),Shelter (18),"Household operations, furnishings and equipment",Clothing and footwear,Transportation,Gasoline,Health and personal care,"Recreation, education and reading",Alcoholic beverages and tobacco products,All-items excluding food and energy (25),All-items excluding energy (25),Energy (25),Goods (27),Services (28)
1960,Nova Scotia,,,,,,,,,,,,,,,
1961,Nova Scotia,,,,,,,,,,,,,,,
1962,Nova Scotia,,,,,,,,,,,,,,,
1963,Nova Scotia,,,,,,,,,,,,,,,
1964,Nova Scotia,,,,,,,,,,,,,,,
1965,Nova Scotia,,,,,,,,,,,,,,,
1966,Nova Scotia,,,,,,,,,,,,,,,
1967,Nova Scotia,,,,,,,,,,,,,,,
1968,Nova Scotia,,,,,,,,,,,,,,,
1969,Nova Scotia,,,,,,,,,,,,,,,
1970,Nova Scotia,,,,,,,,,,,,,,,
1971,Nova Scotia,,,,,,,,,,,,,,,
1972,Nova Scotia,,,,,,,,,,,,,,,
1973,Nova Scotia,,,,,,,,,,,,,,,
1974,Nova Scotia,,,,,,,,,,,,,,,
1975,Nova Scotia,,,,,,,,,,,,,,,
1976,Nova Scotia,,,,,,,,,,,,,,,
1977,Nova Scotia,,,,,,,,,,,,,,,
1978,Nova Scotia,,,,,,,,,,,,,,,
1979,Nova Scotia,41,45,41.8,52.8,50.9,35.8,32,40.8,38.3,21.7,41.8,42.5,31.8,42.5,39.3
1980,Nova Scotia,45.4,50.4,45.7,56.6,57,40.3,37.3,44.9,41.6,24,45.6,46.8,37.4,47.8,42.2
1981,Nova Scotia,50.8,56.4,51.9,62.5,61.1,46.5,49.1,50.1,45.5,26.4,50,51.5,47.7,54.1,46.3
1982,Nova Scotia,55.6,58.6,58.5,69.1,63.8,52.4,60.4,56.7,49.6,30.2,55,55.8,56.5,58.4,52
1983,Nova Scotia,59.1,60,64.1,72.2,67,55.6,67,61,53.6,33.5,58.4,58.8,64.4,61.7,55.8
1984,Nova Scotia,61.7,62.9,67,74,68.7,57.7,70.3,64,56.5,36.8,60.9,61.4,67.7,64.3,58.6
1985,Nova Scotia,64.5,64.3,70.3,76,70.4,60.8,76.3,66.6,59.1,40.7,63.7,64,72.1,66.9,61.5
1986,Nova Scotia,66.5,66.8,70.7,78,71.2,62.4,67.7,68.6,62.2,46.5,66.9,66.9,65.5,68.5,64.1
1987,Nova Scotia,68.8,69.6,71.7,80.1,73.8,63.3,65.5,72.1,65.2,51.2,69.5,69.6,63.5,70.8,66.3
1988,Nova Scotia,71.2,72.8,73.3,83,76.9,64.5,65.5,75.5,68.5,53.5,72,72.3,63.7,73.4,68.4
1989,Nova Scotia,74.4,76.4,75.9,86,79.3,67,66.9,79,71.2,60.2,75.5,75.8,64.6,77,71.3
1990,Nova Scotia,78.2,80.2,80.3,86.8,81.7,70.6,75.6,82,73.7,68.2,78.8,79.1,72.2,81.1,74.6
1991,Nova Scotia,82.9,84.4,84.8,90.1,89.4,73.1,82.8,87.8,76.9,79.1,83.3,83.6,79.9,85.9,79.3
1992,Nova Scotia,83.5,83.5,85.3,90,89.9,74.3,78.8,88.3,78.5,81,84.4,84.2,79,85.9,80.5
1993,Nova Scotia,84.5,84.8,85.8,90.5,91.6,75.3,70.9,90,80.3,81.4,85.7,85.6,76.9,86.9,81.6
1994,Nova Scotia,85.4,87.6,85.7,92.4,92.4,79.6,73,90.7,83.1,71.2,86.4,86.6,77.1,87.3,83.3
1995,Nova Scotia,86.6,87.6,86.9,93.9,92,83.8,76,90.2,85.5,68.2,87.8,87.8,78.2,87.6,85.5
1996,Nova Scotia,88.2,88.8,88.8,95.7,92.5,85.4,74.7,90.7,88.1,69,89.3,89.2,80.9,89.4,86.7
1997,Nova Scotia,90,90.4,90.1,95,98.2,88.5,81.4,92.4,90.1,70.1,90.5,90.5,86.8,91.8,87.8
1998,Nova Scotia,90.6,92.2,89.3,96.6,98.5,87.8,78.3,94.4,91.3,72.5,91.5,91.6,82.4,91.5,89.3
1999,Nova Scotia,92.1,92.9,91,97.4,102.3,90,83,95.8,92.7,73.6,93,93,85.7,93,91
2000,Nova Scotia,95.3,94.4,97.4,97.5,101.5,95.4,102.1,96.9,94.4,76,94.3,94.3,102.7,96.9,93.3
2001,Nova Scotia,97.1,96.8,99.3,98.5,102.7,95.2,99,99,96.7,83.6,96.6,96.6,100.7,98,95.9
2002,Nova Scotia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2003,Nova Scotia,103.4,102.2,104.3,101.3,100.6,104.7,105.9,101.2,101.6,115,103,102.8,107.8,103.1,103.8
2004,Nova Scotia,105.3,104.5,106.9,101.5,99,106.2,118.6,102.7,103.2,122.4,103.9,104,116.3,105.3,105.3
2005,Nova Scotia,108.2,107.8,111.7,102.4,99.3,110.5,131.9,103.7,103.4,126.9,105.1,105.5,131,109.2,107.1
2006,Nova Scotia,110.4,110.9,115.4,102.7,96.3,113.4,139.5,105,104.6,129.8,106.3,107.2,138.5,111.3,109.4
2007,Nova Scotia,112.5,114.5,117.2,104,97.3,115.2,144.5,106.7,105.6,136.6,108.4,109.5,138.2,112.4,112.6
2008,Nova Scotia,115.8,119.2,125.5,105.7,95.8,116.6,159.7,108.4,105.6,139.6,109.4,111.3,156.7,116,115.8
2009,Nova Scotia,115.7,125.8,124,108.4,90.8,109.1,130.6,111.1,105.8,148.4,110.4,113.4,135,113.5,118.4
2010,Nova Scotia,118.2,128.2,125.5,110.6,89.8,114.1,143.4,112.9,107.4,156,112.3,115.4,142.4,116.2,120.7
2011,Nova Scotia,122.7,134.1,131.2,111.9,92.9,121.6,169.4,115.3,108.1,160.4,114.1,118,164.9,122.2,123.5
2012,Nova Scotia,125.1,137.8,135.2,113.1,93.7,123.9,176.8,116.6,108.3,163.1,115.3,119.5,174.7,124.7,125.6
2013,Nova Scotia,126.6,139.6,138.1,115,95.9,124.5,176.6,115.5,107.6,167.9,116.7,121,176.5,125.4,128
2014,Nova Scotia,128.8,141.5,141,117.2,98.2,125.9,176.9,116.4,109.6,176.2,118.6,122.9,182,127.3,130.6
2015,Nova Scotia,129.3,147.8,139.7,120.4,100,120.9,143.1,117.6,111,181.2,120.6,125.6,157.4,126.2,133.1
2016,Nova Scotia,130.9,151.4,139.4,122.7,96.3,122.6,134.1,119.7,114.6,187.3,122.9,128.1,147.9,126.7,135.8
