Year,Geography,All-items,Food (17),Shelter (18),"Household operations, furnishings and equipment",Clothing and footwear,Transportation,Gasoline,Health and personal care,"Recreation, education and reading",Alcoholic beverages and tobacco products,All-items excluding food and energy (25),All-items excluding energy (25),Energy (25),Goods (27),Services (28)
1960,Ontario,,,,,,,,,,,,,,,
1961,Ontario,,,,,,,,,,,,,,,
1962,Ontario,,,,,,,,,,,,,,,
1963,Ontario,,,,,,,,,,,,,,,
1964,Ontario,,,,,,,,,,,,,,,
1965,Ontario,,,,,,,,,,,,,,,
1966,Ontario,,,,,,,,,,,,,,,
1967,Ontario,,,,,,,,,,,,,,,
1968,Ontario,,,,,,,,,,,,,,,
1969,Ontario,,,,,,,,,,,,,,,
1970,Ontario,,,,,,,,,,,,,,,
1971,Ontario,,,,,,,,,,,,,,,
1972,Ontario,,,,,,,,,,,,,,,
1973,Ontario,,,,,,,,,,,,,,,
1974,Ontario,,,,,,,,,,,,,,,
1975,Ontario,,,,,,,,,,,,,,,
1976,Ontario,,,,,,,,,,,,,,,
1977,Ontario,,,,,,,,,,,,,,,
1978,Ontario,,,,,,,,,,,,,,,
1979,Ontario,39,43.8,38.7,48.7,52.3,32.3,32.3,40.6,36,23.3,39,39.9,30.7,43.1,35.2
1980,Ontario,43,48.5,41.5,53.4,58.7,36.5,38.4,44.6,39.7,25.8,42.6,43.8,35.7,48.2,38
1981,Ontario,48.2,53.9,46.7,58.5,62.7,43.1,51.6,49.6,44.1,28.9,47.1,48.5,46.2,54.3,42.2
1982,Ontario,53.3,57.8,52.7,65.2,66.3,48.8,60.8,54.9,48.1,33.6,52.2,53.3,54.4,59.4,47.6
1983,Ontario,56.6,60.6,56.6,68.6,69.2,51.1,62.6,58.6,51.1,38.3,55.5,56.5,58,62.7,50.8
1984,Ontario,59.4,64.7,59.4,71.4,70.9,53.3,67.3,61.1,53,41.6,57.9,59.2,61.7,66.1,53
1985,Ontario,61.8,66.4,62.1,73.4,73.1,56,71.1,63.3,55.4,45,60.4,61.5,65.2,68.5,55.4
1986,Ontario,64.6,69.3,64.6,75.9,75.3,58.4,63.4,66.1,58.1,49.4,63.9,64.9,60.9,70.6,58.8
1987,Ontario,67.8,72.3,69,78,78.8,60.8,66.7,69.4,61.2,52.2,67.4,68.3,62.7,73.4,62.4
1988,Ontario,71,74.3,72.9,81.3,83.4,62.4,67.2,72.5,65.1,56.8,71.1,71.7,63.7,76.4,65.9
1989,Ontario,75.1,77.4,78.2,84.9,87.5,65.8,71.3,76,68.4,62.8,75.8,76,65.5,79.9,70.6
1990,Ontario,78.7,80.6,82.4,86.8,90.2,69.6,81.2,80.4,71.3,67.6,79.3,79.5,70.6,82.7,74.8
1991,Ontario,82.4,84,85.5,89.2,96.4,70.6,79.6,85.6,75.4,78.6,83,83.2,74.1,86,78.8
1992,Ontario,83.2,82.8,86.8,89.6,97,71.9,78.4,87.4,75.5,82.5,84.2,84,75.9,86.6,80
1993,Ontario,84.7,85.2,87.6,90.6,97.1,74,77.1,89.6,77.1,83.6,85.5,85.5,77,88.3,81.2
1994,Ontario,84.7,85,87.7,90.7,98.2,77.9,75.6,90.1,79.4,68,85.6,85.6,76.9,86.9,82.7
1995,Ontario,86.8,87.6,88.7,92.1,98.2,82.6,79.6,90,82.3,67.9,87.7,87.7,78,88.8,85
1996,Ontario,88.2,88.3,88.7,93.6,98.5,86.7,84.3,90.3,84.6,69,89.1,88.9,80.2,90.1,86.5
1997,Ontario,89.8,88.6,88.8,94.8,99.5,91.1,85.3,92.3,88.1,71.2,91.1,90.7,81.3,91,88.8
1998,Ontario,90.6,89.9,89.4,95.2,100,90.5,78,94.1,91.1,74.2,92.3,91.9,78.2,90.9,90.4
1999,Ontario,92.4,91.5,90.7,95.2,101.7,93.4,85.4,95.7,93.5,75.9,93.8,93.4,82.6,92.8,92
2000,Ontario,95.1,92.8,93.9,96.4,102.2,98,104.7,96.8,96.7,78.9,95.5,95,96.3,95.9,94.4
2001,Ontario,98,97,99,98.6,101.8,97.8,100.8,98.9,98.6,86.1,97.6,97.5,103.3,99,97.1
2002,Ontario,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2003,Ontario,102.6,101.6,102.8,101,97.7,105.8,105.5,101.2,99.9,109.9,102.6,102.5,108.4,101.5,103.7
2004,Ontario,104.6,103.6,105.6,101.5,98,107.8,115.4,102.3,100.2,118.2,104.1,104,115.4,103,106
2005,Ontario,106.9,106.7,109,101.7,96.2,112.1,131,104.3,99.3,123.1,105.3,105.6,127.2,105.5,108.1
2006,Ontario,108.8,109,112.5,102,93.2,114.9,137.2,105.8,99,126.5,106.6,107,135.2,106.7,110.6
2007,Ontario,110.8,111.8,114.4,103.3,93.5,117.2,144.1,107.3,101,129.8,108.5,109.1,136,107,114.1
2008,Ontario,113.3,116,118.4,105,92.2,119.6,162.5,109.2,101.6,131.7,109.8,110.9,148,108.1,117.8
2009,Ontario,113.7,121.4,118.6,107.2,92,113.9,134.5,111.9,102.7,134,111.1,112.8,128.2,106,120.5
2010,Ontario,116.5,123.2,121.3,109.5,90.7,120.1,149.3,115.1,104.2,136.2,113.4,115,138.9,108.2,123.8
2011,Ontario,120.1,128.1,123.1,111.9,91.6,128.8,181.9,117.6,105.9,138.6,115.6,117.7,154.9,112,127.2
2012,Ontario,121.8,131,125,113.9,89.8,130.7,185,118.7,107.1,139.3,117,119.4,157,112.5,130
2013,Ontario,123,132.9,126.9,115.4,88.9,131.7,186.4,118.8,107.9,140.8,118,120.5,160.5,113.2,131.9
