Year,Geography,All-items,Food (17),Shelter (18),"Household operations, furnishings and equipment",Clothing and footwear,Transportation,Gasoline,Health and personal care,"Recreation, education and reading",Alcoholic beverages and tobacco products,All-items excluding food and energy (25),All-items excluding energy (25),Energy (25),Goods (27),Services (28)
1960,Prince Edward Island,,,,,,,,,,,,,,,
1961,Prince Edward Island,,,,,,,,,,,,,,,
1962,Prince Edward Island,,,,,,,,,,,,,,,
1963,Prince Edward Island,,,,,,,,,,,,,,,
1964,Prince Edward Island,,,,,,,,,,,,,,,
1965,Prince Edward Island,,,,,,,,,,,,,,,
1966,Prince Edward Island,,,,,,,,,,,,,,,
1967,Prince Edward Island,,,,,,,,,,,,,,,
1968,Prince Edward Island,,,,,,,,,,,,,,,
1969,Prince Edward Island,,,,,,,,,,,,,,,
1970,Prince Edward Island,,,,,,,,,,,,,,,
1971,Prince Edward Island,,,,,,,,,,,,,,,
1972,Prince Edward Island,,,,,,,,,,,,,,,
1973,Prince Edward Island,,,,,,,,,,,,,,,
1974,Prince Edward Island,,,,,,,,,,,,,,,
1975,Prince Edward Island,,,,,,,,,,,,,,,
1976,Prince Edward Island,,,,,,,,,,,,,,,
1977,Prince Edward Island,,,,,,,,,,,,,,,
1978,Prince Edward Island,,,,,,,,,,,,,,,
1979,Prince Edward Island,42.1,47.1,47.2,46.6,52.2,36.8,36.4,38.6,38.4,19,41.8,42.9,38,43.1,41
1980,Prince Edward Island,46.4,51.9,51.5,50,58.4,42,43,42,41.9,21.6,45.6,47,44.8,48.3,44.2
1981,Prince Edward Island,52.7,57.8,59.3,56.3,62.9,50.3,59.3,47.3,46,25.5,50.4,52.1,60.5,55.8,48.4
1982,Prince Edward Island,57.8,60.6,66.9,61.3,66.8,56.4,70.5,52.5,50.6,28.8,54.9,56.1,72.7,61,53.3
1983,Prince Edward Island,60.6,61.4,70.6,64.1,69.4,59.4,76.5,55.6,54.2,32.7,58.2,58.9,77,63.6,56.7
1984,Prince Edward Island,63.3,64.4,74.3,65.9,70.1,61.5,80.6,58.4,56.3,35.4,60.3,61.2,82,66.2,59.4
1985,Prince Edward Island,65.6,65.8,77.5,67.6,71,64,84.3,61.4,58.8,38.4,62.8,63.5,85.3,68.4,62
1986,Prince Edward Island,67,68.1,75.5,69,73.2,64.8,75.2,63.9,61.8,43.3,65.8,66.3,73.3,68.8,64.6
1987,Prince Edward Island,69.4,71.5,76.5,71.2,75.2,66.2,75.3,67,65.2,46.8,68.3,69,72.2,71.1,67
1988,Prince Edward Island,71.9,73.6,79,74.2,78,67,74,70.5,68.8,50.8,71.4,71.9,72.5,73.6,69.8
1989,Prince Edward Island,74.6,76.4,81,75.9,80.7,69,74.9,73.5,71.8,56.6,74.7,75.1,70.7,76,72.8
1990,Prince Edward Island,78.4,80.5,84.5,79.3,82.2,72.1,83.8,78.7,74.6,63.4,78,78.6,77.2,80.3,75.9
1991,Prince Edward Island,84.3,85.6,89.9,83.8,89.8,75.6,91.9,84.7,79.2,77.4,83.5,83.9,88.4,86.8,80.9
1992,Prince Edward Island,85,84.9,89.9,83.6,90.8,76.5,88.4,86.7,80.6,80.8,85,84.9,85.2,87,82.2
1993,Prince Edward Island,86.6,87.5,91.3,84.3,92.6,77.5,82.6,89.5,82.4,82.4,86.6,86.8,85.2,89,83.4
1994,Prince Edward Island,86.4,88.4,90.6,86.5,94.8,80.6,80.7,90.4,84.2,68.3,86.4,86.9,82.2,87.9,84.5
1995,Prince Edward Island,87.8,88.2,92.4,88.7,93.8,85.4,86.8,89.1,86.8,65.9,88,88,85.7,88.8,86.3
1996,Prince Edward Island,89.4,90,93.1,90.8,96.1,87.7,86.5,89.6,89,66.9,89.8,89.8,86.2,90.4,88.1
1997,Prince Edward Island,90.5,90.7,93,93.1,96.6,89.6,88.7,90.8,90.9,68.4,90.9,90.8,88,91.5,89.1
1998,Prince Edward Island,90.1,92.3,89.5,95.4,96,87.2,78.9,93.3,92.4,70.7,91.6,91.7,78.3,90.2,90
1999,Prince Edward Island,91.2,92.5,90.7,96.5,96.5,88.3,78.2,95.3,94.1,72.2,93,92.9,78.8,90.7,91.8
2000,Prince Edward Island,94.9,93.3,98,96.9,97.4,95.3,102.6,97,95.8,75.1,94.3,94.1,101,95.8,93.8
2001,Prince Edward Island,97.4,96.6,100.8,98,99.3,96.6,105.2,99.3,97.8,82.8,96.3,96.4,105,98.5,96.1
2002,Prince Edward Island,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2003,Prince Edward Island,103.5,101.4,104.3,101.1,99.4,106.6,108.7,101.1,100.6,114.9,102.9,102.6,111.2,103.4,103.7
2004,Prince Edward Island,105.8,103.7,107.1,102,100.7,109.2,123.1,101.6,101.8,124.3,104.1,104,120.8,106.1,105.4
2005,Prince Edward Island,109.1,106.6,113.7,103.3,99.9,114.4,141.3,102.8,101.2,128.2,105.3,105.6,139.8,110.8,107.2
2006,Prince Edward Island,111.6,110,116.2,104.3,100,117.9,151.5,103.7,102.6,132.4,106.8,107.4,146.6,113.4,109.4
2007,Prince Edward Island,113.6,113.7,119.5,105.3,100.1,118.8,153.6,104.6,103.6,135.5,108.2,109.3,150.6,115.1,111.8
2008,Prince Edward Island,117.5,118.1,129,106.9,98.4,121.3,168.6,106.4,103.4,139.1,108.8,110.6,176,120.1,114.2
2009,Prince Edward Island,117.3,124.6,123.8,111.9,98.5,113.4,138.4,113.2,104.4,147.1,111.1,113.7,147.7,117.8,116.7
2010,Prince Edward Island,119.5,126.4,125.8,113.4,98.7,117.5,150.3,113.3,106.4,150.8,111.9,114.8,159.7,120.5,118.2
2011,Prince Edward Island,123,132,128.9,114.7,97.6,125,176.8,114.6,107,157.9,112.7,116.4,179.4,125.6,119.8
2012,Prince Edward Island,125.5,137.4,129.9,117.8,99.4,127.6,184.3,117.2,106.9,163.1,114,118.5,185.2,128.8,121.4
2013,Prince Edward Island,128,138.8,133,119.8,104.6,130.8,192.2,116.3,107.5,168.3,116.1,120.5,193.4,131.1,124.2
2014,Prince Edward Island,130.1,140.8,135.2,121.8,104.6,132.8,195.2,116.5,110.8,174.4,117.9,122.3,197.9,132.7,126.8
2015,Prince Edward Island,129.3,146.4,131.8,125,103.3,125.3,157.5,118.1,111.3,182.4,119.4,124.5,167.3,129.6,128.8
2016,Prince Edward Island,130.8,150,131.4,128.8,101.5,126.3,147.1,120.8,112.6,188.1,121.8,127.1,157.8,130.3,131.3
