Year,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,"Whitehorse, Yukon","Yellowknife, Northwest Territories","Iqaluit, Nunavut"
2000,95.4,96.6,94.9,95.3,95.1,95.8,95.1,95.9,94.4,94.5,96.1,97.4,95.6,
2001,97.8,97.7,97.4,97.1,96.8,98,98,98.5,97.2,96.7,97.7,99.3,97.1,
2002,100,100,100,100,100,100,100,100,100,100,100,100,100,
2003,102.8,102.9,103.5,103.4,103.4,102.5,102.6,101.8,102.3,104.4,102.2,101.9,102.3,100.2
2004,104.7,104.8,105.8,105.3,104.9,104.5,104.6,103.8,104.6,105.9,104.2,103,103.8,101.2
2005,107,107.6,109.1,108.2,107.4,106.9,106.9,106.6,106.9,108.1,106.3,105.2,106.2,102.9
2006,109.1,109.5,111.6,110.4,109.2,108.7,108.8,108.7,109.1,112.3,108.1,106.8,107.7,104.6
2007,111.4,111.1,113.6,112.5,111.3,110.4,110.8,110.9,112.2,117.9,110,109.5,110.8,107.9
2008,114.1,114.3,117.5,115.8,113.2,112.7,113.3,113.4,115.9,121.6,112.3,113.4,115.2,110.4
2009,114.4,114.6,117.3,115.7,113.5,113.4,113.7,114.1,117.1,121.5,112.3,113.8,115.9,112.6
2010,116.5,117.4,119.5,118.2,115.9,114.8,116.5,115,118.7,122.7,113.8,114.7,117.9,111.8
2011,119.9,121.4,123,122.7,120,118.3,120.1,118.4,122,125.7,116.5,118.1,121.6,113.4
2012,121.7,123.9,125.5,125.1,122,120.8,121.8,120.3,123.9,127.1,117.8,120.8,124.3,115.3
2013,122.8,126,128,126.6,123,121.7,123,123,125.7,128.9,117.7,122.8,126.2,116.6
2014,125.2,128.4,130.1,128.8,124.8,123.4,125.9,125.3,128.7,132.2,118.9,124.4,128.4,118.1
2015,126.6,129,129.3,129.3,125.4,124.7,127.4,126.8,130.8,133.7,120.2,124.1,130.4,120.4
2016,128.4,132.5,130.8,130.9,128.2,125.6,129.7,128.4,132.2,135.2,122.4,125.4,131.9,123.4
