Year,Geography,All-items,Food (17),Shelter (18),"Household operations, furnishings and equipment",Clothing and footwear,Transportation,Gasoline,Health and personal care,"Recreation, education and reading",Alcoholic beverages and tobacco products,All-items excluding food and energy (25),All-items excluding energy (25),Energy (25),Goods (27),Services (28)
1960,Quebec,,,,,,,,,,,,,,,
1961,Quebec,,,,,,,,,,,,,,,
1962,Quebec,,,,,,,,,,,,,,,
1963,Quebec,,,,,,,,,,,,,,,
1964,Quebec,,,,,,,,,,,,,,,
1965,Quebec,,,,,,,,,,,,,,,
1966,Quebec,,,,,,,,,,,,,,,
1967,Quebec,,,,,,,,,,,,,,,
1968,Quebec,,,,,,,,,,,,,,,
1969,Quebec,,,,,,,,,,,,,,,
1970,Quebec,,,,,,,,,,,,,,,
1971,Quebec,,,,,,,,,,,,,,,
1972,Quebec,,,,,,,,,,,,,,,
1973,Quebec,,,,,,,,,,,,,,,
1974,Quebec,,,,,,,,,,,,,,,
1975,Quebec,,,,,,,,,,,,,,,
1976,Quebec,,,,,,,,,,,,,,,
1977,Quebec,,,,,,,,,,,,,,,
1978,Quebec,,,,,,,,,,,,,,,
1979,Quebec,40.5,43.6,38.6,50.2,51.6,37.8,32.1,40.4,42.2,21.3,40.7,41.4,32.3,42.6,37.9
1980,Quebec,44.7,48.4,42.1,54.3,56.8,42.6,38.3,44.8,46,23.9,44.6,45.5,37.8,47.5,41.2
1981,Quebec,50.2,54.4,47.5,60,60.6,50,53.2,49.3,50.2,27,49.2,50.4,49.6,53.9,45.5
1982,Quebec,56,58.7,54.3,65.3,63.9,59.5,70.4,54,54.4,31.3,54.7,55.7,62,59.5,51.8
1983,Quebec,59.1,60.1,59.1,68.8,66.2,61.9,74.2,57.6,57.4,34.7,58.2,58.6,66.3,62.4,55.2
1984,Quebec,61.5,62.9,62.1,70.4,67.7,64.1,77.2,59.8,58.8,37.1,60.4,60.9,69.5,64.8,57.5
1985,Quebec,64.2,65.2,64.9,72.2,69.6,66.8,80.5,62.5,60.9,41.8,63.1,63.5,72.7,67.6,60
1986,Quebec,67.3,69.5,66.8,74.7,71.8,68.7,72.7,65.5,63.7,48.4,66.7,67.3,67.5,70.7,63.2
1987,Quebec,70.2,73,69.8,76.7,75,70.8,75.7,68.8,67.1,50.8,69.5,70.2,69.8,73.6,66.1
1988,Quebec,72.8,74.9,73.4,79.3,78.4,71.9,75.9,71.6,70.2,53.2,72.5,73,71.1,75.9,69
1989,Quebec,75.9,77.9,77.1,82.2,81,74.4,77.9,74.8,73,57.4,75.9,76.3,73,79,72.2
1990,Quebec,79.2,80.3,81.2,83.5,83.3,77.2,86.4,78,76.1,63.8,78.9,79.2,80.3,82,75.8
1991,Quebec,85,83.3,86.4,88.7,95.4,79.2,89.1,84.4,83.6,77.2,85.4,84.9,86.8,87.5,81.9
1992,Quebec,86.6,82.8,88.3,89,96.4,80.6,84.7,87,85.8,83.4,87.7,86.6,86.3,88.3,84.4
1993,Quebec,87.7,83.3,89.6,89.2,97.5,82.4,81.7,89.3,87.8,84.1,89.2,87.9,85.9,89.1,86.1
