Year,Geography,All-items,Food (17),Shelter (18),"Household operations, furnishings and equipment",Clothing and footwear,Transportation,Gasoline,Health and personal care,"Recreation, education and reading",Alcoholic beverages and tobacco products,All-items excluding food and energy (25),All-items excluding energy (25),Energy (25),Goods (27),Services (28)
1960,Saskatchewan,,,,,,,,,,,,,,,
1961,Saskatchewan,,,,,,,,,,,,,,,
1962,Saskatchewan,,,,,,,,,,,,,,,
1963,Saskatchewan,,,,,,,,,,,,,,,
1964,Saskatchewan,,,,,,,,,,,,,,,
1965,Saskatchewan,,,,,,,,,,,,,,,
1966,Saskatchewan,,,,,,,,,,,,,,,
1967,Saskatchewan,,,,,,,,,,,,,,,
1968,Saskatchewan,,,,,,,,,,,,,,,
1969,Saskatchewan,,,,,,,,,,,,,,,
1970,Saskatchewan,,,,,,,,,,,,,,,
1971,Saskatchewan,,,,,,,,,,,,,,,
1972,Saskatchewan,,,,,,,,,,,,,,,
1973,Saskatchewan,,,,,,,,,,,,,,,
1974,Saskatchewan,,,,,,,,,,,,,,,
1975,Saskatchewan,,,,,,,,,,,,,,,
1976,Saskatchewan,,,,,,,,,,,,,,,
1977,Saskatchewan,,,,,,,,,,,,,,,
1978,Saskatchewan,,,,,,,,,,,,,,,
1979,Saskatchewan,40.2,46.7,38.2,50.7,50.2,36.9,31.8,37.1,39.7,22.2,40.8,42,27.3,41.4,38.7
1980,Saskatchewan,44.3,51.6,41.3,55.5,56.6,41.8,37.5,40.5,42.9,24.6,44.7,46.1,31.4,46,42
1981,Saskatchewan,49.5,56.7,46.7,61,60.7,48.9,50.9,45.2,46.9,27.3,49.4,50.9,40.3,51.6,46.7
1982,Saskatchewan,54,60.5,52.8,67,64.4,51.9,53.2,50,50.8,30.5,54,55.3,44.5,55.4,52.2
1983,Saskatchewan,57.4,62.5,57.3,70.8,67.4,55,55.9,54.1,54.2,34.5,57.9,58.9,47.4,58.4,56.2
1984,Saskatchewan,59.8,64,59.8,72.8,69.5,58,60.3,56.9,55.9,37.3,60.3,61.1,50.8,60.6,58.6
1985,Saskatchewan,62,66.1,61.6,74.7,71.3,60.3,64.7,58.7,58.3,40.3,62.5,63.2,53.6,63.2,60.3
1986,Saskatchewan,63.7,66.5,64.2,75.5,71.2,60.5,54,60.4,61.3,44.8,65.2,65.5,49.4,64,63.1
1987,Saskatchewan,66.8,70.3,66.4,78.4,73.4,62.8,56.9,69.5,64.9,48.3,68.3,68.7,51.8,67.7,65.5
1988,Saskatchewan,69.8,72.3,68.4,82.4,77.6,64.8,54.1,77.2,68.7,51.9,71.8,71.9,52.3,71.1,68
1989,Saskatchewan,72.9,75.6,70.7,84.9,80.3,68.7,57.8,80,71.2,56.6,74.8,75,55.5,74.9,70.1
1990,Saskatchewan,76,79.1,73,86.6,82.9,74.4,77.9,82.8,73.4,60.2,77.2,77.6,65.3,78.7,72.6
1991,Saskatchewan,80,84.6,76.5,88,92.6,74.3,70.7,87,77.7,68.6,81.4,82,65.1,82.2,77.1
1992,Saskatchewan,80.8,84.4,77.1,88.6,91,75.6,71.4,88.6,78.8,73,82.5,82.8,65.6,82.9,78.1
1993,Saskatchewan,83.3,87,78.1,89.3,97.1,79.1,77.5,91.1,80.7,75.9,84.6,85.1,69.8,86.5,79.2
1994,Saskatchewan,84.8,88.6,79.2,89.8,99.5,82.7,79.2,91.7,83.2,72.4,86,86.5,72.6,87.9,80.8
1995,Saskatchewan,86.4,90.1,80.6,91,97.9,86.5,82.2,91.3,86,72.9,87.8,88.2,73.4,89.2,82.9
1996,Saskatchewan,88,91.5,82.9,92.3,96.1,89.4,84.9,91.8,87.8,73.6,89.2,89.6,76.9,90.9,84.5
1997,Saskatchewan,89.2,93.4,84,91.8,95.9,90.6,85.7,91.2,89.4,75.3,90.1,90.7,77.5,91.5,86.2
1998,Saskatchewan,90.4,94,85.9,94.3,96.3,91,79.8,92.6,91.2,76.3,92,92.4,76.1,91.3,89.3
1999,Saskatchewan,92,93.9,87.9,95.4,98.1,93.9,85.7,93.3,92.4,77.9,93.5,93.6,80.2,92.1,91.7
2000,Saskatchewan,94.4,95.2,91.4,97,98.2,97.8,100.9,95.6,93.9,79.4,94.9,95,89.8,94.3,94.4
2001,Saskatchewan,97.2,98,97.6,98.6,99,98.6,100.6,98.9,96.3,81.6,96.9,97.1,98.2,97.3,97.2
2002,Saskatchewan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2003,Saskatchewan,102.3,102.2,103.1,100.3,99.6,102.6,105.4,100.6,101,110.2,102,102,105.7,101.8,102.9
2004,Saskatchewan,104.6,104.5,106,101.1,100.3,105.8,114.4,101.7,101.9,115.8,103.7,103.8,112.1,103.8,105.4
2005,Saskatchewan,106.9,105.1,109.7,101.6,101,110.7,128.6,102.7,102.8,118.2,105.5,105.4,121.3,105.9,108.1
2006,Saskatchewan,109.1,107.6,113.5,101.3,97.6,114.8,138.1,103.5,103.1,121.9,107,107.1,127.5,107.3,111.2
2007,Saskatchewan,112.2,111.2,123.1,100.8,96.2,115.4,145.1,105.5,103.4,125.7,109.8,110.1,132.3,108.1,117.1
2008,Saskatchewan,115.9,115.3,135,101.7,95.1,115.4,163.3,106.2,103.5,129.4,112.8,113.2,140.7,108.6,124.6
2009,Saskatchewan,117.1,122.2,139.3,103.8,96.2,106.8,135.1,111.8,103.9,132.2,114.5,115.9,128.5,107.5,128.9
2010,Saskatchewan,118.7,123.1,140.4,104.2,96.2,110.3,141.6,113.5,104.7,139.2,116.1,117.4,130.5,108.3,131.3
2011,Saskatchewan,122,128.2,143.9,105.6,95.1,116.9,168.7,113.7,105.9,142.1,117.9,119.8,142.4,111.1,135.3
2012,Saskatchewan,123.9,131.2,146.7,107.3,95.8,119,170.3,115.2,106.4,143.5,119.9,122,142,111.8,139
2013,Saskatchewan,125.7,134,149.4,108.7,96.5,119.9,167.9,116.3,107.3,150.8,121.8,124,142,112.4,142.3
2014,Saskatchewan,128.7,138.1,154.4,110.5,97,122.4,169.5,117.9,109.2,158.4,124.4,126.8,147.2,114.9,145.9
2015,Saskatchewan,130.8,143.4,158.7,112.4,98.8,120.1,140.7,119.7,111.4,161.8,127.2,130,136.6,115.9,149.5
2016,Saskatchewan,132.2,144.5,160.5,114.4,98.6,121.8,128.2,121.3,111.6,166.3,129.4,132.1,130.6,116.8,151.5
