Year,"Total, all industries (14)",Goods-producing sector (15),Agriculture (17) [111-112 1100 1151-1152] ,"Forestry, fishing, mining, quarrying, oil and gas (18,19) [21 113-114 1153 2100] ",Forestry and logging and support activities for forestry [113 1153] ,"Fishing, hunting and trapping [114] ","Mining, quarrying, and oil and gas extraction (18) [21 2100] ",Utilities [22] ,Construction [23] ,Manufacturing [31-33] ,Durables [321 327 331-339] ,Non-durables [311-316 322-326] ,Services-producing sector (16),Wholesale and retail trade [41 44-45] ,Wholesale trade [41] ,Retail trade [44-45] ,Transportation and warehousing [48-49] ,"Finance, insurance, real estate, rental and leasing [52 53] ",Finance and insurance [52] ,Real estate and rental and leasing [53] ,"Professional, scientific and technical services [54] ","Business, building and other support services (12) [55 56] ",Educational services [61] ,Health care and social assistance [62] ,"Information, culture and recreation [51 71] ",Accommodation and food services [72] ,Other services (except public administration) [81] ,Public administration [91] 
2000,1583.1,428.4,70.6,81.9,5.4,,76.5,12.7,125.7,137.6,84.5,53,1154.6,250.7,64.9,185.8,97.5,80.2,48.5,31.7,110.1,52.8,100.8,150,63.8,111.3,75.1,62.6
2001,1627.4,441.4,59.5,98.8,3.7,,95.1,13.3,130.5,139.2,83.5,55.7,1186,255.9,69.1,186.8,98.8,82.8,53.9,28.9,124.7,47.3,108.9,148.7,66.3,111.1,77.2,64.2
2002,1673.8,460.7,60.4,95.9,3.5,,92.2,17.1,139.8,147.6,82.3,65.3,1213.1,251.1,60.8,190.3,99.5,83.4,53,30.4,124.3,54.7,109.4,155.5,69.6,119.4,80.4,65.8
2003,1729,472.3,65.3,101.2,4.6,,96.6,14,144.7,147.1,88.8,58.4,1256.6,264.3,68.6,195.8,100.5,86.5,55.9,30.6,119.8,62.8,110.2,158.4,74.1,124,83,73.1
2004,1774.8,497.9,65.2,111.2,4.7,,106.4,13.8,161.1,146.6,82,64.5,1276.9,271.2,63.8,207.5,100,92.5,58.7,33.7,122.4,64.8,109.6,165.8,72.6,124.7,81.9,71.4
2005,1820.4,497.3,55.9,130,4.5,,125.5,13.8,163.2,134.4,79.4,55.1,1323.1,284.8,68,216.8,108.6,97,62.6,34.4,135.7,63.6,122.3,174.1,73.5,109.4,83.8,70.2
2006,1911.6,532.1,52.4,144.7,3.6,,140.9,17.6,176.6,140.9,83,57.9,1379.5,290.9,72.7,218.2,107.6,99.5,62.6,36.8,143.9,63.2,132.1,181.5,69.8,117.3,90.1,83.5
2007,1991,567.9,49.8,155.9,4,,151.8,19.7,198.1,144.4,87.2,57.2,1423.1,295.8,80.6,215.1,107.6,100.9,64.5,36.4,149.2,74.6,131.9,190.3,76,117.8,96.8,82.4
2008,2053.9,585.6,59.3,152.1,3.5,,148.5,17.5,216.5,140.3,86.3,53.9,1468.2,320.7,88.1,232.6,108.3,113,73.5,39.5,161.5,71.4,122.5,193,73.2,120.7,97.6,86.5
2009,2029.7,540.4,58.3,137.3,3.1,,134.1,19.4,202.1,123.4,72.6,50.8,1489.3,318.1,79.3,238.8,105.9,112.8,70.4,42.4,149.2,72.8,129.8,203.4,74.8,130.3,104.4,87.8
2010,2023.7,534.1,51.4,139.1,3.2,,135.9,18.2,200.3,125.2,73.5,51.6,1489.5,311.1,76.5,234.6,107.7,110.2,70,40.1,150.4,72,128.8,215.6,75.5,131.8,99.8,86.7
2011,2099.5,574.3,55.3,150.2,3.2,,146.9,17.1,218,133.7,82.6,51.1,1525.2,320.2,90.7,229.4,110.8,98.4,60.4,38,162.1,73.1,126.5,222,76.8,141.5,105.8,88
2012,2172.5,622.8,56.3,174.5,4,,170.4,18.4,236,137.6,88.1,49.4,1549.7,322.4,80.7,241.7,117.3,97.5,67.2,30.3,166.3,73.1,128.2,231.2,70.4,144.3,108,90.9
2013,2226.2,642.1,63.4,173.3,2.7,,170.6,18.7,244,142.7,83.6,59.1,1584.1,326,81.5,244.5,119.8,104.2,66.4,37.8,176.1,78.2,124.9,233.2,74.8,142.7,114.5,89.7
2014,2274.6,658.2,60.6,178.5,3,,175.3,18.3,256.4,144.5,87.3,57.2,1616.4,320.6,86.1,234.4,129.9,104.7,68.4,36.3,184.3,79.1,124.7,240.6,72.5,150,122.1,88.1
2015,2301.1,641.7,62.8,158.9,3.6,,155.3,20.2,259.9,139.9,86.3,53.6,1659.4,318.8,89.5,229.3,139.3,103.5,65.9,37.6,173.2,82.3,138,264.1,74.9,153.5,117.5,94.4
2016,2263.8,577.9,50.8,139.9,4,,135.8,19.8,251.9,115.5,68.5,47,1685.9,330.1,83.7,246.4,131.8,106.1,68.7,37.4,179.3,79.5,149.5,269.4,76.3,144.4,122.4,97.1
