Year,All industries,Goods-producing sector,Agriculture,"Forestry, fishing, mining, quarrying, oil and gas",Forestry and logging and support activities for forestry,"Fishing, hunting and trapping","Mining, quarrying, and oil and gas extraction",Utilities,Construction,Manufacturing,Durables,Non-durables,Services-producing sector,Wholesale and retail trade,Wholesale trade,Retail trade,Transportation and warehousing,"Finance, insurance, real estate, rental and leasing",Finance and insurance,Real estate and rental and leasing,"Professional, scientific and technical services","Business, building and other support services",Educational services,Health care and social assistance,"Information, culture and recreation",Accommodation and food services,Other services,Public administration
2000,14760.1,3809.5,371.3,273.3,85.6,28.4,159.3,115.8,806.9,2242.3,1343.6,898.7,10950.6,2299.8,545.8,1754,773,858.2,608,250.2,935.7,531.2,970.1,1516.9,667.6,940.9,682.7,774.6
2001,14932.3,3766.4,322.6,276.4,74.2,25.7,176.4,122.8,822.6,2222,1329.3,892.7,11165.9,2362.7,551.6,1811.1,777.9,876.3,635.1,241.2,988.1,532.9,974.2,1545.5,710,948.1,664.5,785.8
2002,15291.3,3875.9,323.7,269.1,73.4,26.2,169.5,131.1,863,2288.9,1368.2,920.7,11415.5,2398.6,545.9,1852.7,757.9,896.3,652.4,243.9,987.2,581.8,1001.1,1614,712.6,985.1,686.1,794.7
2003,15660.8,3927.8,330,279.2,75.7,26.4,177.2,130.7,910.6,2277.4,1338.4,939,11733,2464.7,572.4,1892.2,787.9,913.6,646.4,267.2,1002.7,608,1025.8,1677.9,716,1002.3,711.7,822.6
2004,15915,3990.2,322,284.9,71.5,26.7,186.6,132.1,954.1,2297.2,1358.8,938.4,11924.8,2500.7,580.5,1920.3,805.2,951.5,675.4,276.1,1012.9,627.1,1034,1723.2,733.1,1006.9,699.9,830.4
2005,16123.5,4000.7,342.1,309.5,70.1,26.1,213.3,123.5,1022.1,2203.4,1310,893.4,12122.9,2569.4,604.7,1964.6,796,983.6,702.8,280.8,1041.1,650.1,1102.4,1723.4,728,1001.2,692,835.7
2006,16396,3970.8,346.3,334.5,62.8,26.3,245.4,121.5,1066.3,2102.2,1282.5,819.6,12425.2,2624.3,606.8,2017.5,798.3,1028.9,731.1,297.8,1075.2,680.6,1155.2,1776,737.4,1018.1,696.2,834.9
2007,16769.3,3968.8,335.5,342.4,59.8,23.6,259,137.5,1127.3,2026,1217.2,808.9,12800.5,2665,620.7,2044.3,820.6,1046.3,744.9,301.4,1124,695.8,1173.8,1838.5,774.8,1072.2,724.3,865.4
2008,17010.2,3980.5,330.1,341.1,53.5,21.8,265.8,146.2,1235.8,1927.2,1145.5,781.7,13029.7,2678.4,626.6,2051.8,849.7,1060.8,762.4,298.5,1173.4,704.3,1163.5,1890.1,749.6,1088.5,761.1,910.3
2009,16727.6,3720.1,326.9,314.4,47.5,20.9,246,144.1,1189.6,1745.1,1015.2,729.8,13007.5,2645,626.1,2018.9,824.6,1067.1,753,314.1,1149.9,683.9,1151.2,1961.6,747.3,1075.7,782.6,918.6
2010,16964.3,3725,306.6,324.5,51.4,20.9,252.2,141.3,1241.9,1710.7,997.2,713.5,13239.2,2683.4,625.3,2058.1,814.1,1073.9,764.6,309.3,1216.1,691.5,1166.3,2041.6,762.8,1097.6,771.4,920.5
2011,17221,3801.3,307.9,339.9,47.7,20,272.2,137.1,1294.6,1721.8,1015.7,706.1,13419.8,2677.9,628.9,2049,849.5,1076,747,329,1264.6,694.3,1170.2,2084.1,771.9,1141.1,769.5,920.4
2012,17438,3873.9,305.7,365.5,50.6,18.5,296.5,133.4,1322.8,1746.5,1056.9,689.5,13564.1,2660.9,609,2051.9,857.4,1061.7,755.7,306,1270.7,704.3,1209.6,2141,759.1,1170.1,804.9,924.3
2013,17691.1,3910.1,314,368.1,50.3,17.5,300.2,135,1369.8,1723.1,1029.3,693.8,13781,2710.7,605,2105.7,882.9,1078.8,767.2,311.6,1310.9,740.9,1226.5,2189.9,756.7,1169.6,795.3,918.9
2014,17802.2,3897.1,305.1,372.6,49.1,15.9,307.5,136.9,1371.5,1711,1029.5,681.5,13905.1,2729.3,622.2,2107.1,896.8,1083.8,779.7,304.2,1333.3,734.8,1236.9,2219.7,757.2,1207.5,795.1,910.7
2015,17946.6,3870.4,294.9,354.9,49.2,15.8,289.9,137,1371.2,1712.4,1030.1,682.3,14076.2,2732.7,666.9,2065.8,917.2,1102.9,791,311.9,1365.8,760.6,1274.1,2292.3,750.6,1210.6,761.8,907.4
2016,18079.9,3833,289.2,326.8,48.1,14.9,263.8,137.2,1385,1694.8,1032.9,661.9,14246.9,2745.9,678.1,2067.8,907.4,1127,808.1,319,1393.7,766.4,1270,2339.3,782.4,1212.7,774.9,927.3
