Year,"Total, all industries (14)",Goods-producing sector (15),Agriculture (17) [111-112 1100 1151-1152] ,"Forestry, fishing, mining, quarrying, oil and gas (18,19) [21 113-114 1153 2100] ",Forestry and logging and support activities for forestry [113 1153] ,"Fishing, hunting and trapping [114] ","Mining, quarrying, and oil and gas extraction (18) [21 2100] ",Utilities [22] ,Construction [23] ,Manufacturing [31-33] ,Durables [321 327 331-339] ,Non-durables [311-316 322-326] ,Services-producing sector (16),Wholesale and retail trade [41 44-45] ,Wholesale trade [41] ,Retail trade [44-45] ,Transportation and warehousing [48-49] ,"Finance, insurance, real estate, rental and leasing [52 53] ",Finance and insurance [52] ,Real estate and rental and leasing [53] ,"Professional, scientific and technical services [54] ","Business, building and other support services (12) [55 56] ",Educational services [61] ,Health care and social assistance [62] ,"Information, culture and recreation [51 71] ",Accommodation and food services [72] ,Other services (except public administration) [81] ,Public administration [91] 
2000,198.8,42.5,1,14.3,1.3,8.2,4.8,1.6,10.6,15,3.5,11.5,156.3,35.7,6.2,29.6,10.8,7.3,4.8,2.5,7,4.8,16,28.2,7,12.5,11,16.1
2001,203.7,43.5,1,14,1.3,6.8,5.8,2.4,10.5,15.7,3.2,12.6,160.2,38.4,7.1,31.3,11.6,7.7,5.1,2.6,6.9,6,16.7,28.7,7.5,11.7,9.5,15.6
2002,206.5,42.6,1.1,13.9,1,7.6,5.3,2.4,9.3,16,3.4,12.6,163.9,38.3,5.9,32.4,10.3,7.4,4.9,2.4,7.7,8.3,17.4,29.1,7.2,11.7,10.4,16.1
2003,210.7,42,1.5,14.3,0.7,7.9,5.7,2,9.6,14.5,4,10.6,168.7,36.7,5.1,31.6,12.3,7.5,4.5,3.1,7.5,7.6,15.9,30.8,7.5,13.3,12.4,17.3
2004,213.2,47.4,1.3,15.5,1.2,8.3,6,1.9,11.7,16.9,4.4,12.5,165.8,39,5.9,33.1,11.9,7.6,4.9,2.7,6.6,7.3,16.6,29.3,7.9,12.9,10.8,15.8
2005,212.3,48.6,2.2,15.1,1.5,8.7,4.9,2.3,12.3,16.7,3.4,13.2,163.7,38,5.6,32.4,11,7.6,5,2.6,7.2,7.4,16.8,29.1,7.2,13.4,11.2,14.8
2006,214.4,48.7,1.9,16.2,0.9,8.1,7.2,2.2,12.9,15.4,4,11.5,165.7,38,6.4,31.5,11.5,6.5,4.3,2.2,6.8,8.4,16.4,30,8.7,13.3,11.3,14.9
2007,217,48.3,1.3,16.1,0.5,7.2,8.4,1.7,13.3,15.8,3.9,11.9,168.7,37,4.3,32.8,10.2,7.5,4.5,2.9,8.2,8.7,16.9,31.8,8.2,14.7,9.3,16.3
2008,221.1,50.5,0.9,16.5,0.7,6.7,9.1,1.5,17.5,14.1,3.4,10.7,170.6,35.6,4.3,31.3,10.9,7.4,4.7,2.6,8.1,8,16.2,33,8.7,14.1,10.8,18
2009,215.1,46.4,0.8,15.5,0.6,5.7,9.2,1.6,16.7,11.9,2.8,9.1,168.8,34.9,5,29.9,11.5,6.5,3.6,2.9,7.4,7.3,16.3,34.9,9.1,13.9,10,17
2010,222.8,47.2,1.8,16.9,1,5.5,10.4,1.8,16.5,10.3,3,7.3,175.6,37.8,5.6,32.3,12.2,6.9,4.5,2.4,6.8,6,16.7,37.3,7.9,15.2,10.7,17.9
2011,231.9,50.9,2.1,16.8,1.1,4.1,11.6,2.1,19.1,10.8,3,7.7,181,39.2,5.8,33.3,11.2,7.6,5,2.6,9,6.2,18.3,37.8,7.1,14.2,11.4,19.1
2012,240.8,53.6,1.7,16.6,0.7,3.9,12,2.6,20.5,12.1,3.6,8.5,187.2,37.9,4.9,33,11.4,8.4,5.2,3.2,10.1,6.9,18.6,39.1,7.2,15,13.8,18.8
2013,242.7,55.7,1.2,17.4,,3.9,13.3,2.7,22.8,11.7,4,7.7,187,37.8,5.6,32.2,11.2,8.4,5.3,3.1,9.4,6.5,18.1,39.4,7,15.1,14.7,19.3
2014,238.6,54.7,1.3,17.6,0.9,3.1,13.7,2.6,22.6,10.6,4.5,6.1,183.9,39.4,6.1,33.3,11.7,8.6,6.1,2.5,10.6,6.4,17.6,37.5,7.5,15.1,12,17.5
2015,236.2,54.1,1.3,16.2,1.2,3.4,11.6,2.5,22.6,11.4,4.2,7.2,182,41.6,5.2,36.4,10,8.3,5.1,3.2,11.3,7.2,15.1,37.6,7.3,15.4,12.5,15.7
2016,232.6,50.5,1.5,14.4,0.8,3.1,10.5,2.8,21.9,9.8,3.7,6.1,182.1,43.1,6.5,36.6,9.7,7.9,4.8,3.1,10.5,6.9,14.3,39.2,7.1,16,12.2,15.3
