Industry,2000,2016
Automobile & Light-Duty Motor Vehicle Man.,62934.733,62871.184
Oil & Gas Extraction,40157.301,61210.585
Gold & Silver Ore Mining,2157.281,16437.83
Aerospace Product & Parts Man.,11069.615,15778.502
Petroleum Refineries,8121.28,12973.205
Pharmaceutical & Medicine Man.,1853.418,11756.757
Sawmills & Wood Preservation,12998.699,10915.608
Non-Ferrous Metal  Smelting & Refining,5593.525,10227.819
Alumina & Aluminum Production & Processing,6801.519,8732.77
Resin & Synthetic Rubber Man.,5314.909,7929.28
Animal Slaughtering & Processing,4374.472,7333.137
Pulp Mills,9906.215,7214.337
Mineral Mining & Quarrying,3771.742,6917.783
Engine & Power Transmission  Man.,4838.234,6768.335
Oilseed Farming,1421.319,6345.05
Paper Mills,13924.336,6050.464
Wheat Farming,3687.756,5948.078
Measuring & Control Instruments Man.,2613.967,5878.487
Other Plastic Product Man.,5014.66,5685.152
Starch & Vegetable Fat & Oil Man.,1104.829,5559.635
Iron & Steel Mills & Ferro-Alloy Man.,3049.891,5445.418
Motor Vehicle Parts Man.,5541.424,4797.228
Coal Mining,1721.799,4455.14
Seafood Product,2961.218,4374.151
Dry Pea & Bean Farming,925.29,4128.727
