Gross domestic product (GDP),Agricultural and related services industries,Fishing and trapping industries,Logging and forestry industries,"Mining, quarrying and oil well industries",Manufacturing industries,Construction industries,Transportation and storage industries,Communication industries,Other utility industries,Wholesale trade industries,Retail trade industries,"Finance, insurance and real estate industries","Community, business and personal services industries",Mining industries,Manufacturing industries,Forestry services industry,Transportation industries,Communication industries,Water systems industry,Insurance and other finance industries,Government service industries,Community and personnel services industries,Business sector industries,Business sector goods industries,Business sector services industries,Non-business sector industries,Non-business sector goods industries,Non-business sector services industries,Goods producing industries,Services producing industries,Industrial production,Non-durable manufacturing industries,Durable manufacturing industries,Total economy
1961,"25,559.50","3,089.30","6,189.20","41,133.30","124,506.00","55,234.80","27,720.00","7,644.40","11,873.90","23,862.40","43,627.60","85,784.00","51,111.60",0,63.2,879.1,"4,872.00",68.4,"1,059.60",284,"62,714.00","74,226.40","487,178.40","254,624.00","233,734.40","144,906.00","1,174.00","143,798.10","255,923.20","368,531.60","171,650.40","72,962.80","53,633.70","625,710.30"
1962,"31,421.60","3,195.30","6,594.00","42,125.20","138,821.60","57,580.40","27,660.50","8,239.30","12,796.40","26,187.30","46,094.00","88,642.10","53,718.00",0,67.7,849.3,"4,915.30",68.4,"1,223.30",304,"64,905.60","79,183.10","523,584.10","280,482.90","244,392.00","152,233.50","1,349.90","150,937.20","281,950.80","385,720.00","188,827.60","78,962.10","61,776.40","670,291.20"
1963,"35,335.10","3,122.00","6,733.50","44,446.70","148,030.80","57,753.60","30,622.00","8,843.60","13,568.50","27,560.40","48,092.00","92,037.20","56,931.20",0,71.2,835.7,"5,024.80",69.6,"1,236.40",314.8,"65,789.60","85,462.00","554,172.40","297,219.20","258,320.40","159,370.80","1,367.10","158,065.30","298,734.40","406,728.80","200,959.90","82,681.90","67,129.30","708,358.00"
1964,"32,321.10","3,150.80","7,193.10","50,185.60","162,765.60","60,839.50","33,688.00","9,711.60","14,553.70","30,402.50","51,242.10","97,202.30","60,776.70",0,80.7,850.9,"5,143.20",70,"1,285.50",326.4,"67,295.30","91,849.90","594,604.40","318,380.10","277,689.60","167,350.40","1,428.00","165,988.40","319,979.20","434,628.40","221,260.90","88,710.90","75,630.90","757,770.70"
1965,"33,939.30","2,964.80","7,160.40","51,911.10","179,195.60","66,545.10","35,713.20","10,543.60","15,832.50","32,332.10","55,297.20","101,984.80","66,338.00",0,86.1,896.8,"5,339.20",78.9,"1,389.60",324.4,"66,826.80","98,094.00","640,437.20","345,405.20","296,618.40","173,291.20","1,542.00","171,808.80","347,135.50","460,623.10","241,490.00","93,662.40","86,574.40","811,854.30"
1966,"38,230.40","3,283.30","7,314.40","53,189.60","190,742.40","67,940.10","38,437.20","11,483.20","17,662.40","35,650.10","59,037.20","108,383.30","72,131.90",0,90.3,"1,002.00","5,458.40",75.1,"1,481.90",356.8,"68,751.50","106,631.20","684,644.10","366,889.60","319,442.80","183,946.70","1,643.20","182,366.30","368,730.80","494,306.70","256,767.20","98,886.00","92,823.90","867,081.60"
1967,"30,993.10","3,006.80","6,741.50","56,770.80","194,971.30","68,409.90","39,222.30","12,678.00","19,024.00","37,275.70","62,221.70","112,156.00","75,848.40",0,94.8,"1,071.70","6,045.90",77.1,"1,649.20",453.2,"72,786.30","115,419.60","700,104.80","367,960.40","333,846.40","197,640.70","1,823.60","195,876.70","369,920.00","520,090.90","264,952.80","100,685.60","95,206.40","892,593.50"
1968,"33,253.10","3,702.00","6,685.20","60,700.00","207,915.20","70,935.20","40,726.80","13,707.60","20,748.10","38,318.40","64,442.00","122,165.20","75,337.20",250.8,102.3,"1,141.20","6,488.00",76.4,"1,710.00",570.8,"74,222.80","123,755.70","738,444.80","391,330.00","348,921.30","208,100.40","2,044.10","206,103.10","393,481.20","544,488.80","283,194.30","104,824.40","103,631.60","941,249.20"
1969,"35,770.80","3,000.40","7,146.00","63,308.40","222,595.60","68,063.90","44,512.40","14,720.40","22,405.60","41,054.80","67,856.90","125,515.70","80,312.00",341.6,90.4,"1,087.20","6,569.20",76.8,"2,102.10",630.7,"76,976.80","132,650.80","778,887.50","411,744.30","369,044.80","220,203.20","2,498.20","217,709.50","414,232.20","575,706.00","302,645.10","110,237.60","112,592.30","993,237.60"
1970,"31,649.30","3,122.80","7,192.00","68,560.10","213,149.60","66,735.20","48,418.40","16,100.80","24,572.40","43,530.90","70,086.80","132,275.60","81,634.30",348.7,127.6,"1,102.10","6,882.80",77.1,"2,172.70",814.8,"80,956.80","137,431.20","788,066.10","401,635.50","388,303.10","229,639.60","2,612.70","227,030.70","404,175.10","604,400.40","297,789.70","109,009.90","104,962.00","1,009,194.90"
