Year,All industries,Goods-producing industries,Service-producing industries,Business sector industries,Non-business sector industries,Industrial production,Non-durable manufacturing industries,Durable manufacturing industries,Information and communication technology sector ,Energy sector,Industrial production,Public Sector,Content and media sector,"Agriculture, forestry, fishing and hunting","Mining, quarrying, and oil and gas extraction",Utilities,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information and cultural industries,Finance and insurance,Real estate and rental and leasing,"Professional, scientific and technical services",Management of companies and enterprises,"Administrative and support, waste management and remediation services",Educational services,Health care and social assistance,"Arts, entertainment and recreation",Accommodation and food services,Other services,Public administration
1997,1071819,375260,696793,876338,196407,293372,70474,87573,,129053,290268,,,18434,104574,32891,64087,157818,48907,47779,46708,28361,66696,120510,43847,,23099,61768,76654,9012,24717,19747,73573
1998,1113073,389369,723920,915948,197845,303871,72018,93738,,129150,300662,,,19620,106105,32428,66221,165636,52757,50685,47640,30337,68884,123972,49248,,24654,61968,77517,9282,26157,20326,74126
1999,1174871,412619,762649,971830,203884,322582,74209,104725,,129281,319161,,,21008,106111,32919,69227,179129,56342,53247,50566,33872,71693,130308,54190,,27491,63348,80015,9702,27151,21671,76172
2000,1238702,440797,798677,1031025,208071,347325,80480,116322,,131931,343670,,,21066,109418,32977,73044,197118,59958,56628,53087,36445,75330,134616,61151,,28646,63818,82827,10103,27995,22869,77744
2001,1256142,431143,825328,1044169,212525,335014,81985,107028,,129892,331487,,,19783,108802,31059,78384,189002,60841,59495,54448,39515,77695,140006,62620,,29978,64425,84360,10545,28458,24234,79916
2002,1289205,439369,850022,1072759,217007,342190,83518,107415,,136980,338594,,,18685,113602,32731,81531,190870,62794,62995,54341,41576,78791,145153,63340,,32647,65738,85590,10812,28981,25292,82161
2003,1316510,444971,871519,1093281,223766,342638,82928,106475,,138787,339020,,,20424,116774,32904,84486,189331,65655,65176,54554,42334,80264,148765,66182,,33812,67316,88299,10779,28380,25922,84442
2004,1357282,456843,900332,1129720,227806,347757,82435,110359,,139207,344081,,,22173,118354,32853,89547,192813,68184,67489,56612,44955,84493,153116,67782,,35963,69118,89868,11221,29265,26688,85442
2005,1398042,467232,930646,1165849,231965,353370,82265,113480,,141503,349621,,,22758,119017,34587,94178,195798,72400,69843,59944,46475,87083,159117,70079,,37524,71532,91302,11074,29638,27528,86848
2006,1437116,470091,966885,1197234,239726,353147,80042,113112,,143893,349388,,,22414,121901,34186,98039,193183,75950,74125,61673,48142,93713,163243,74059,,38821,73846,93446,11255,29819,28348,89942
2007,1468926,470885,998041,1222176,246750,350469,77125,110663,62470,145819,346648,264351,13041,22140,123106,35754,102097,187788,79666,77269,62645,48668,97531,168566,77179,10670,40474,75832,96255,11530,30265,29226,92264
2008,1479793,464403,1015669,1223930,255911,339827,74619,103124,63617,143444,335760,273251,13099,23896,120519,37289,104821,177754,78953,79791,62314,49037,96108,172629,79786,11673,39988,78530,98430,11591,30512,30066,96289
2009,1431821,418101,1014190,1167688,263868,301427,68769,84302,62371,135914,297202,281952,13019,22389,107857,35498,98382,153243,73575,77765,60049,48414,95150,177396,77773,11644,38220,79716,100736,11528,30740,29779,101470
2010,1482084,444581,1038465,1212681,269301,319588,70180,90417,64739,141130,315148,287819,12512,22639,118329,36006,106476,160643,79107,80001,62346,49441,97222,183126,77915,11227,38908,81274,102236,11164,30636,29496,104282
2011,1530958,464676,1067332,1258023,273031,334983,69896,96554,67182,147420,330159,292173,12282,23578,126559,37218,110639,166216,85037,80702,64757,50122,100520,188868,81700,11359,39424,81953,104021,11141,31295,30362,106162
2012,1560152,473672,1087557,1285009,275385,334980,69539,99542,67350,146048,329845,294507,12152,23823,124136,36850,119406,168638,88008,81037,65623,50547,102324,194860,83971,11380,41301,83538,105644,11143,32056,30997,105309
2013,1599575,489471,1111290,1323535,276688,340964,69208,99337,66802,150891,335573,295443,12453,28066,130628,36892,124601,168087,91725,85555,66797,50270,106072,200269,86242,12120,41594,84792,105808,11205,33233,31736,104874
2014,1641305,504533,1138046,1363498,278890,355299,70738,102867,68773,159731,349659,298247,12288,26437,139962,36881,127463,173050,95370,88607,69812,50488,109444,206325,88776,12173,42414,85321,107386,11266,34113,32523,105565
2015,1656117,494747,1162296,1375202,281962,350768,72205,101475,70243,155150,345076,302233,12261,27389,135107,36711,121441,173342,96267,90359,72532,50521,114994,213362,90060,12513,42318,86768,109613,11819,34606,32640,105908
