Indicator Name,GDP (current US$)
1960,41093453545
1961,40767969454
1962,41978852041
1963,44657169109
1964,48882938810
1965,53909570342
1966,60358632035
1967,64768831262
1968,70759031842
1969,77887510242
1970,87896095224
1971,99271961478
1972,1.13E+11
1973,1.31E+11
1974,1.60E+11
1975,1.74E+11
1976,2.07E+11
1977,2.12E+11
1978,2.19E+11
1979,2.43E+11
1980,2.74E+11
1981,3.06E+11
1982,3.14E+11
1983,3.41E+11
1984,3.55E+11
1985,3.65E+11
1986,3.77E+11
1987,4.31E+11
1988,5.07E+11
1989,5.65E+11
1990,5.94E+11
1991,6.10E+11
1992,5.92E+11
1993,5.77E+11
1994,5.78E+11
1995,6.04E+11
1996,6.29E+11
1997,6.53E+11
1998,6.32E+11
1999,6.76E+11
2000,7.42E+11
2001,7.36E+11
2002,7.58E+11
2003,8.92E+11
2004,1.02E+12
2005,1.17E+12
2006,1.32E+12
2007,1.46E+12
2008,1.55E+12
2009,1.37E+12
2010,1.61E+12
2011,1.79E+12
2012,1.82E+12
2013,1.84E+12
2014,1.78E+12
2015,1.55E+12
