Year,Canada (1),Western Canada,Eastern Canada,Northern Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Northwest Territories (3),Nunavut (3),Outside Canada
1981,765977,259598,482272,1373,12178,2858,24318,16747,165950,260221,29001,30316,101402,98879,1373,,,1770
1982,736659,245227,467695,1244,12642,2819,24531,17035,158477,252191,28224,28657,97129,91217,1244,,,1898
1983,747346,241676,483735,1155,13247,2925,25662,16930,164164,260807,29098,29632,91964,90982,1155,,,1903
1984,770762,241841,507250,1187,13748,3148,26536,17489,171900,274429,31024,30131,89208,91478,1187,,,1910
1985,812888,254007,538400,1193,14110,3225,27746,18524,181162,293633,32811,31395,94474,95327,1193,,,2189
1986,838594,252816,565269,1342,14247,3342,28089,18970,188247,312374,33922,31505,91810,95579,1342,,,2160
1987,876085,262022,593151,1403,14334,3434,28494,19426,196442,331021,33934,32361,94265,101462,1403,,,2200
1988,919961,275382,622577,1472,15130,3651,29888,20526,203419,349963,34486,32273,99921,108702,1472,,,2344
1989,953362,285326,645450,1430,15525,3703,30543,21343,209868,364468,34905,31841,101886,116694,1430,,,2440
1990,959926,293968,644452,1504,15488,3734,30517,21653,211653,361407,35305,32335,105613,120715,1504,,,2533
1991,950253,292573,638051,1577,15560,3741,29941,21792,209350,357667,34614,32177,102929,122853,1577,,,2568
1992,954716,295991,641592,1685,15645,3645,29533,21776,209962,361031,34477,31165,103310,127039,1685,,,2237
1993,962092,303477,642090,1564,16044,3711,29990,22118,211784,358443,34860,31600,106945,130072,1564,,,1718
1994,987482,315519,655845,1597,16554,3833,30157,22058,215771,367472,35275,32314,111753,136177,1597,,,1220
1995,995208,318356,661083,1781,16668,3949,30106,22553,214968,372839,36059,33138,112645,136514,1781,,,1143
1996,1018998,327827,676831,1687,15896,4110,30189,23025,222025,381586,36947,34542,116004,140334,1687,,,1145
1997,1070374,351627,705027,1747,16446,4065,31587,23067,227999,401863,38519,37531,129381,146196,1747,,,1128
1998,1099030,359274,726317,1794,17031,4182,32778,24381,233979,413966,39138,36909,137432,145795,1794,,,993
1999,1141095,364924,762922,6664,18461,4496,34772,26028,242689,436476,40123,37479,138578,148744,1884,3095,1685,1137
2000,1188388,383406,792511,7083,18442,4678,34675,26464,251894,456358,40832,38155,150787,153632,1883,3465,1735,1127
2001,1225722,399607,812999,7987,18768,4806,35132,25966,259296,469031,41824,38582,160237,158964,1929,4218,1840,1201
2002,1262412,409423,840583,8092,19230,4884,36385,26658,269423,484003,42841,38945,164240,163397,2030,4145,1917,1186
2003,1303918,424368,867622,7836,19859,5041,37015,27398,278779,499530,43879,40123,171397,168969,2076,3687,2073,1171
2004,1355139,445791,897147,8561,20408,5164,37523,28272,288848,516932,45404,40657,182061,177669,2235,4187,2139,1174
2005,1415886,479488,924675,9069,21150,5463,38383,29135,294294,536250,46512,42793,203313,186870,2442,4441,2186,1149
2006,1477732,511850,955081,9432,21169,5670,39218,30751,301909,556364,48248,44987,220419,198196,2493,4729,2210,1143
2007,1532267,536494,984659,10033,22075,5821,40507,32262,313893,570101,50697,47649,230746,207402,2588,4832,2613,1081
2008,1575098,555517,1008536,10167,23014,5859,41034,33089,322327,583213,53305,51611,237264,213337,2612,4452,3103,1139
2009,1540106,527009,1004638,9437,23632,5956,42024,32558,323240,577228,53102,52291,213669,207947,2722,4115,2600,1324
2010,1617254,561723,1046535,9991,25170,6067,43887,33503,334619,603289,55735,55897,234532,215559,3081,4192,2718,1508
2011,1659686,584915,1065878,10220,26913,6241,44375,33948,341346,613055,57060,58461,249592,219802,3311,4047,2862,1429
2012,1698823,611497,1078509,10080,28727,6120,44008,33160,346399,620095,58829,61231,265392,226045,3153,4218,2709,1463
2013,1725687,634680,1081995,10461,30374,6210,44421,32982,347062,620946,59703,63778,282802,228397,3116,4341,3004,1430
2014,1757615,653102,1094829,10462,31601,6156,44185,33370,344977,634540,60964,65481,291032,235625,3066,4502,2894,1423
2015,1762150,637001,1115566,10822,31535,6234,44679,33894,344972,654252,61851,61976,272204,240970,3073,4813,2936,1395
