Geography,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Northwest Territories (5),Nunavut (5)
2000,30647400,529012,136400,934291,750524,7353293,11657472,1146449,1008478,2996032,4037128,30400,40533,27388
2001,30971516,523045,136605,933058,749661,7391474,11864712,1150440,1001139,3051428,4071000,30126,40817,28010
2002,31308560,520150,136928,934794,749076,7435910,12062619,1155384,997408,3118466,4097492,30226,41504,28604
2003,31601594,518813,137208,936927,749354,7480516,12221288,1162043,996276,3176116,4120648,30789,42418,29197
2004,31898942,517731,137628,939290,749290,7529704,12367823,1171467,997011,3232795,4151788,31465,43258,29692
2005,32202766,515040,137918,938442,748348,7576590,12507353,1177691,994418,3310274,4191121,31913,43457,30202
2006,32528626,511103,137878,937659,745966,7626106,12641896,1182247,992276,3410912,4236434,32224,43198,30727
2007,32847675,509680,137814,935387,745319,7685354,12749822,1187953,1000495,3502678,4286244,32454,43202,31273
2008,33198550,511789,138615,935986,746849,7753366,12865668,1196350,1015886,3582788,4343104,33028,43335,31788
2009,33581080,516147,139730,938367,749640,7832800,12983106,1206574,1032532,3667912,4405052,33687,43068,32466
2010,33958588,521561,141519,941983,752660,7918420,13117298,1219107,1049312,3724528,4461376,34408,43171,33246
2011,34302168,524715,143708,944427,755217,7997094,13250220,1231959,1064422,3780176,4497605,35182,43391,34052
2012,34697214,526427,144935,944883,756452,8074494,13395078,1248191,1083153,3866972,4542448,35902,43616,34663
2013,35101583,527750,145101,943866,755803,8144472,13537914,1263857,1102199,3979215,4586180,36204,43752,35269
2014,35495896,528344,145698,943600,755243,8205431,13670925,1278903,1119178,4092349,4639808,36623,43875,35918
2015,35820561,528854,146554,943739,754586,8254792,13785826,1294528,1131685,4172288,4689868,37153,44242,36444
2016,36228838,529919,148235,948797,756450,8316680,13961240,1315088,1148116,4243029,4742548,37373,44397,36966
