Year,Canada,"Newfoundland
and Labrador",PEI,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia
1990,8.1,17,14.4,10.7,12.1,10.4,6.2,7.4,7,6.9,8.4
1991,10.3,18,16.5,12.1,12.7,12.1,9.5,8.6,7.4,8.2,9.9
1992,11.2,20,17.6,13.1,13,12.7,10.8,9.3,8,9.5,10.1
1993,11.4,20.1,16.9,14.3,12.6,13.2,10.9,9.3,8.3,9.6,9.7
1994,10.4,20,16.5,13.5,12.5,12.3,9.6,8.8,6.9,8.8,9.1
1995,9.5,18,14.8,12.2,11.4,11.5,8.7,7.3,6.7,7.8,8.5
1996,9.6,18.9,14.6,12.4,11.6,11.8,9,7.2,6.6,6.9,8.7
1997,9.1,18.1,15.3,12.1,12.6,11.4,8.4,6.5,5.9,5.9,8.5
1998,8.3,17.6,13.9,10.5,12.2,10.3,7.2,5.5,5.8,5.6,8.8
1999,7.6,16.7,14.3,9.6,10.2,9.3,6.3,5.6,6,5.7,8.3
2000,6.8,16.6,12,9.1,10,8.5,5.7,5,5.1,5,7.2
2001,7.2,16,11.9,9.7,11.1,8.8,6.3,5,5.8,4.7,7.7
2002,7.7,16.7,11.9,9.6,10.1,8.7,7.1,5.1,5.7,5.3,8.5
2003,7.6,16.5,10.9,9.1,10.2,9.1,6.9,4.9,5.6,5.1,8
2004,7.2,15.6,11.2,8.8,9.8,8.5,6.8,5.3,5.3,4.7,7.2
2005,6.8,15.2,10.9,8.4,9.7,8.2,6.6,4.7,5.1,4,5.9
2006,6.3,14.8,11.1,7.9,8.7,8.1,6.3,4.3,4.7,3.5,4.8
2007,6,13.5,10.2,8,7.5,7.3,6.4,4.4,4.2,3.5,4.3
2008,6.1,13.3,10.9,7.6,8.5,7.2,6.6,4.2,4,3.6,4.6
2009,8.3,15.5,11.9,9.2,8.7,8.6,9.1,5.2,4.9,6.5,7.7
2010,8.1,14.7,11.4,9.6,9.2,8,8.7,5.4,5.2,6.6,7.6
2011,7.5,12.6,11,9,9.5,7.9,7.9,5.5,4.9,5.4,7.5
2012,7.3,12.3,11.2,9.1,10.2,7.7,7.9,5.3,4.7,4.6,6.8
2013,7.1,11.6,11.6,9.1,10.3,7.6,7.6,5.4,4.1,4.6,6.6
2014,6.9,11.9,10.6,9,9.9,7.7,7.3,5.4,3.8,4.7,6.1
2015,6.9,12.8,10.4,8.6,9.8,7.6,6.8,5.6,5,6,6.2
2016,7,13.4,10.7,8.3,9.5,7.1,6.5,6.1,6.3,8.1,6
